Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,2.83333,2.97222,3.00556,3.07778,0.021329,3.07637,3.07874,3.11533,3.3325,4.16133
1,2,2,2,2,0.050048,1.9952,2.0104,1.998,1.998,2.1752
2,4,4,4,4,0.064229,4,4,4,4.506,5.4724
3,2.5,2.83333,2.83333,2.83333,0.048449,2.8208,2.8132,2.8628,3.0718,3.9396
4,3.5,3.5,3.5,3.5,0.012723,3.488,3.5002,3.498,3.49,4.2498
5,3,3,3,3,0.014804,3,3,3,3.4882,3.9256
6,1.5,1.5,1.5,1.5,0.012613,1.5042,1.4984,1.4854,1.5104,1.9226
7,3,3.5,3.5,4.25,0.05688,4.2338,4.2428,4.4976,4.4961,6.6
8,3,3,3,3,0.013275,3,3,3,3.3438,4.3244
9,3.16667,4.16667,4.5,4.5,0.007296,4.50807,4.50967,4.83547,4.82727,5.7738
10,3.5,3.5,3.5,3.5,0.017491,3.4944,3.503,3.5078,3.6708,5.0522
11,3.16667,3.16667,3.16667,3.41667,0.02477,3.4114,3.4034,3.414,4.0666,4.5814
12,3.5,3.5,3.5,3.5,0.009713,3.5068,3.5056,3.4984,3.4958,4.6124
13,2,2,2,2.16667,0.013857,2.1704,2.1658,2.1714,2.6776,3.1342
14,4,4,4,4,0.010669,4,4,4,4,5.0082
15,2.66667,2.66667,2.66667,2.66667,0.011024,2.66267,2.66987,2.67427,2.65747,3.1412
16,3.5,3.5,3.5,3.5,0.012728,3.5018,3.5076,3.486,3.6768,4.6686
17,1,1.33333,1.5,1.5,0.019806,1.5002,1.5036,1.4974,2,2.3736
18,1.5,1.5,1.5,1.5,0.013278,1.5038,1.5016,1.5056,1.5036,1.8162
19,3,3,3,3,0.007725,3,3,3,3,4.2126
20,2.5,2.5,2.5,2.5,0.011484,2.4978,2.4932,2.4912,2.5022,2.9674
21,2.5,2.5,2.5,2.5,0.020061,2.4976,2.5056,2.5118,2.7468,2.8458
22,3,3,3,3,0.006429,3,3,3,3,3.8298
23,3,3.5,4,4,0.012328,4,4,4.2508,4.2544,6.2224
24,4,4,4,4,0.017918,3.9952,4.0088,4.0018,4.8166,5.394
25,2,2,2,2,0.020676,2,2,2,2.3388,2.8778
26,1.5,1.5,1.5,1.5,0.012889,1.5,1.5,1.5,2.251,2.4806
27,4,4,4,4,0.010025,4,4,4,4.5064,4.736
28,2.5,2.5,2.5,2.5,0.025802,2.497,2.5058,2.4994,3.0156,3.7256
29,4.5,6,6,6.25,0.063546,6.2597,6.255,6.5128,6.3243,8.6594
30,2,2,2,2.75,0.017333,2.7424,2.7588,2.76,2.7386,4.117
