Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.68889,10.7944,11.4611,Inf,Inf,14.5311,14.6518,15.7663,18.4564,22.9263
1,11,12.5,14,Inf,Inf,16.8972,17.5011,18.2776,21.2156,26.8196
2,12.5,12.5,12.5,Inf,Inf,17.5038,18.4196,18.4168,22.3064,28.571
3,9,10,10,12.25,2817.28,13,14.779,15.2388,15.3154,20.8144
4,8,8,10,Inf,Inf,14.4911,13.0252,15.7917,16.7317,22.0116
5,9.5,9.5,9.5,12.1944,684.044,12.4464,12.6224,13.3956,15.8021,20.3058
6,10.5,13.5,13.5,Inf,Inf,17.0754,18.5142,20.891,23.7714,27.6416
7,11,11,11,11.75,1.28625,11.7524,11.9896,12.008,15.9738,18.6532
8,10.5,11.5,11.5,12.5,242.774,14.7394,13.497,13.6536,17.3553,22.6646
9,10,10.6667,11,Inf,Inf,16.7752,15.8348,16.3337,18.1648,25.3988
10,11.5,12,12.5,13.5,257.074,14.0006,13.5092,13.5044,19.8365,24.338
11,9.5,11.5,12.5,Inf,Inf,16.8413,16.2338,17.8886,18.2476,25.21
12,8,8,9,12.6713,767.205,13.5503,13.2696,16.085,18.9413,21.7088
13,8.5,10.5,11.8333,Inf,Inf,16.524,17.4407,17.569,21.0093,25.6562
14,10.5,11.5,12.5,13.875,2084.56,15.6452,15.5152,17.2794,20.7665,24.5226
15,8,9,10.3333,12.125,223.768,12.7544,12.7582,12.961,16.089,20.0488
16,8.5,10.5,10.5,12,325.779,12.4386,12.139,12.372,16.8453,20.4924
17,8.5,9.5,10.5,11,3.65588,11.7145,11.2969,12.0984,16.1697,17.5842
18,13.5,15.5,15.5,Inf,Inf,19.8439,18.8784,20.3244,23.5089,29.2354
19,7.5,10.5,10.5,13.6667,247.734,14.1458,14.5043,17.9565,18.9026,22.484
20,8.5,8.83333,9,10.5,10.2144,10.8603,11.5072,11.8312,13.2282,17.1404
21,6.16667,6.16667,6.16667,7.16667,0.904992,7.4908,7.1492,8.1488,11.2618,10.9758
22,7,9,10,10.75,22.9183,10.7418,10.7506,13.3784,13.0649,17.5748
23,12,13,14,Inf,Inf,18.6118,18.4958,20.247,22.9782,28.7032
24,10,13,15,Inf,Inf,17.6902,17.6387,20.0302,21.5763,29.4918
25,10,11.3333,12,12.5,31.6024,13.1969,13.3845,13.3685,17.1835,20.1386
26,9,9,10,Inf,Inf,15.3638,15.8006,17.1551,21.0617,24.7802
27,10,11.3333,12.5,Inf,Inf,17.3428,18.0799,18.843,19.5356,28.1398
28,12,12.5,13,14.5417,3595.35,15.678,17.3016,18.5093,21.7662,25.3238
29,10,11,12.1667,12.5,31.4629,13.1434,13.028,13.1828,17.4616,19.745
30,10,11,11.3333,13.25,228.952,13.6724,14.69,16.2488,17.6199,21.6148
