Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,11.9111,12.2778,12.4444,Inf,Inf,13.0139,12.924,13.1511,15.9208,23.4107
1,7,7.5,8,8,5.01713,8,8,8,9.298,15.5582
2,14.5,15.5,15.5,Inf,Inf,17.7824,17.2582,17.5074,19.909,29.583
3,14,14,14,Inf,Inf,16.6797,16.5709,17.9815,19.7779,30.9218
4,10.5,11.5,12,Inf,Inf,12.5088,12.6889,13.6515,16.7394,25.4004
5,10.5,10.5,10.5,10.5,5.51539,10.5154,10.501,10.4944,13.7988,18.6534
6,11,11.3333,11.5,11.5,1252.37,11.4856,11.501,11.7896,17.1116,23.2552
7,5.5,5.5,5.5,5.5,1.13088,5.512,5.4876,5.4958,6.0946,10.7412
8,12,13,13.5,Inf,Inf,13.9782,14.011,14.0118,15.4086,20.5676
9,11,11,11,12.25,3178.28,12.3218,12.3384,12.3388,15.0494,22.7906
10,16.5,17.1667,17.5,Inf,Inf,17.5,17.5,17.9183,18.5058,34.4556
11,8,8,8,8,0.485254,7.9826,7.9968,8.022,9.2151,13.2276
12,13.5,13.5,13.5,13.5,7.76409,13.493,13.4884,13.4974,18.75,24.9742
13,12,12,12,12,2385.95,12,12,12,17.4714,22.2776
14,12.5,13.1667,13.6667,14.25,138.255,14.336,14.3326,14.3282,16.6609,25.8794
15,13,13,13,13,1.69517,13,13,13,17.5702,26.5594
16,16,16,16,Inf,Inf,16.9996,16.7549,16.7503,20.9238,30.422
17,11,12.6667,13.8333,14,1460.95,14.0004,13.9892,13.9994,16.7792,22.7306
18,10,12,12,Inf,Inf,13.993,14.0058,14.9944,14.491,23.6294
19,13,13,13.3333,13.5,29.7747,13.508,13.4998,13.4874,16.8548,22.6672
20,12,12.3333,12.6667,Inf,Inf,14.752,13.7524,13.7536,17.0535,26.6892
21,10,10,10,10.5,3452.81,11,10.5,10.5,14.4312,21.2672
22,11,11,11,11,3.89056,11,11,11,13.3222,21.1422
23,12,12,12,12,1.60983,12,12,12,13.7511,21.1706
24,12.1667,12.5,12.8333,Inf,Inf,14.908,14.4073,15.0924,19.5797,26.3652
25,12.6667,12.6667,12.6667,12.6667,0.264691,12.6641,12.6675,12.6623,15.4059,20.6194
26,10,10,10,10,3.30739,10,10,10,12.2339,19.4812
27,14,14,14.3333,Inf,Inf,15.0048,14.9934,16.011,18.1796,25.0512
28,14.5,15,15,15,37.2621,14.987,14.991,14.9938,16.7551,25.0248
29,12.5,13.5,13.5,13.5,2.29237,13.5034,13.4848,14.011,16.7158,25.481
30,15,15,15,15,39.2825,15,15,15.2409,19.7855,25.7358
