Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.25,6.6,6.85556,7.29028,0.812515,7.37464,7.35716,7.54178,8.89227,11.5979
1,8.5,9,9,9,0.067745,9.01,9.0148,9.0128,10.9976,14.1326
2,4.5,4.5,4.5,5,0.07478,5.0016,5.006,5.0128,6.7485,8.1864
3,7,7,8,8.5,0.225189,8.754,8.5096,8.9908,11.2452,14.5958
4,6.5,6.5,6.5,6.5,0.059499,6.5064,6.511,6.498,7.664,9.1084
5,5,6,7,7,0.174286,7,7,8,8.8789,11.7796
6,6,6,6.33333,8,0.105339,8.0056,7.9984,8.0049,8.2891,11.1608
7,3.5,3.5,3.5,4.5,0.03648,4.4992,4.5066,4.502,5.4932,7.0544
8,7,8,8.5,8.625,0.88459,8.7998,8.7395,10.2949,11.5498,14.67
9,6.5,7.16667,7.5,7.66667,0.322125,7.6744,7.6673,8.0023,8.554,12.0904
10,6.5,6.5,7,7.5,0.663606,7.4956,7.4982,7.495,9.4942,12.355
11,5,5,5,7,0.11616,7,7,7,7.331,10.1732
12,7,7.66667,8,8.5,0.591738,8.5184,8.509,8.5102,9.6454,12.1266
13,6,6,6,6,0.059509,6,6,6,8.0414,10.3334
14,7.5,7.5,7.5,7.91667,0.270859,7.999,7.9938,8.0052,9.9078,13.3266
15,4,4.5,4.5,5,0.196501,5.0132,4.9988,4.995,5.7518,8.1602
16,8,8.66667,9,9.5,7.53484,9.4886,9.5123,9.6551,11.8932,15.5556
17,2,2,2,2.5,0.04335,2.5042,2.5008,2.497,2.5006,4.2106
18,4,4,4,4,0.040399,4,4,4,7.1716,7.5768
19,7.5,8.5,8.5,9.5,1.50282,9.7432,9.7776,9.5912,12.4218,15.2166
20,8,8.5,9,9,0.062725,9.0082,8.977,9.0122,9.7618,11.9988
21,8,8.66667,9.33333,10,7.41102,10.5001,10.4926,10.8274,11.9956,15.9358
22,7,7,7,7.5,0.024725,7.5,7.5,7.5,10.1656,12.0406
23,8,8,8,8.25,0.105633,8.2493,8.2497,8.2505,10.901,13.0024
24,6,7,8,8,0.409525,8,8,8.6075,10.4985,13.2586
25,6.5,6.5,6.5,7.5,0.063207,7.5058,7.5014,7.497,8.3786,11.9652
26,8.5,8.5,8.5,8.75,0.488524,8.9379,8.7604,8.7596,10.3807,13.5112
27,5.5,5.5,5.5,5.5,0.094573,5.5142,5.4992,5.504,6.4984,8.8518
28,6,6.33333,6.5,6.5,0.075093,6.5149,6.499,6.4865,6.9951,10.7334
29,3,3,4,4,0.0413,3.9956,3.9918,4.0014,4.6194,6.059
30,9,11,11,11.5,2.62932,12.5,12.5,13.7401,12.9942,18.766
