Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,4.81111,4.95556,4.98889,5.09722,0.0944854,5.09732,5.11967,5.13648,5.6575,7.80402
1,5.5,6.5,6.5,6.5,0.076914,6.507,6.493,6.5132,7.4898,10.3102
2,5,5,5,5,0.059939,5,5,5,5.5004,9.875
3,5,5,5,5.33333,0.02664,5.34,5.3374,5.331,5.3346,7.4332
4,4,5,5,5,0.039061,5,5,5,5,7.9742
5,4,4,4,4,0.022943,4,4,4,4,5.7936
6,8.5,8.5,8.5,8.5,0.142786,8.4922,8.5034,8.5032,9.4723,12.1516
7,5,5,5,5,0.040041,5.0092,4.9948,5.0026,5.4998,5.9276
8,5,5,5,5,0.100755,5.0116,4.993,4.9968,5.9938,8.653
9,5,5,5,5,0.026276,5,5,5,5,8.2802
10,6.5,6.5,6.5,6.5,0.087002,6.4922,6.4882,6.4968,6.6686,9.7388
11,6,6,6,6.66667,0.128818,6.6581,7.1679,7.5166,8.5791,11.6884
12,4,4.33333,4.66667,5,0.066867,5,5,5,5.5074,7.6946
13,3,3,3,3,0.117832,3.0026,3.0082,3.003,3.5116,4.93
14,6,6,6,7,0.075568,7,7,7,7,8.853
15,2.66667,2.66667,2.66667,2.66667,0.027575,2.6804,2.6618,2.6714,2.6534,2.763
16,5,5,5,5.16667,0.23384,5.1712,5.337,5.3414,6.7477,9.4526
17,4.5,4.5,4.5,4.5,0.039367,4.5,4.5,4.5,5.0106,7.3126
18,1.5,1.5,1.5,1.5,0.016191,1.5,1.5,1.5,1.5,1.8684
19,4.5,4.5,4.5,4.5,0.052106,4.4978,4.5032,4.4794,5.5114,6.4744
20,5.5,6.16667,6.5,6.75,0.08587,6.7338,6.7424,6.7437,6.9922,8.9764
21,2.5,2.5,2.5,2.5,0.022442,2.4992,2.5018,2.5134,2.5038,2.9116
22,4.5,4.5,4.5,4.5,0.060205,4.493,4.4938,4.4892,5.844,7.1908
23,5,5.33333,5.66667,6,0.530365,6,6,6,7.2454,8.7292
24,6,6.66667,6.66667,6.66667,0.113182,6.6688,6.6774,6.8248,6.9138,11.093
25,3.5,3.83333,3.83333,4,0.160755,3.9957,4.0202,4.0013,4.3318,6.3996
26,6,6,6,6,0.125287,6,6,6,6.7458,9.169
27,4.5,4.5,4.5,4.5,0.194481,4.5,4.5,4.5,5.5015,7.8532
28,8,8,8,8,0.035295,8,8,8,8,10.9128
29,5,5,5,5,0.096961,5,5,5,5.4994,8.7488
30,3.16667,3.16667,3.16667,3.16667,0.029199,3.16667,3.16667,3.16667,4.16667,4.9618
