Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.48889,6.65,6.74444,6.96528,1.38034,7.03882,7.00213,7.07031,8.45233,11.2688
1,6,6.5,7,7,0.064392,7,7,7,8.1676,11.4618
2,7,7,7,7,0.145794,7,7,7.5066,8,12.2356
3,6.5,6.5,6.5,6.5,0.548666,6.489,6.4986,6.4928,7.4638,11.031
4,8,8,8,8.83333,0.493377,8.8304,8.834,9.13047,10.1967,14.6088
5,5,6,6,6,0.180797,6.0014,5.9854,6.002,7.5821,9.4926
6,6.5,6.5,6.5,6.70833,0.305223,6.8741,6.71,6.7091,8.075,10.6898
7,8,8,8,9,4.59941,9.2533,9.2505,9.2565,11.3654,15.2632
8,8.5,8.5,8.5,9,9.69325,9.8272,9.7452,9.9032,11.6922,17.0602
9,8.5,8.5,8.5,8.5,0.23643,8.5,8.5,8.5,11.2158,11.542
10,5,5,5,5.25,0.09086,5.4928,5.2565,5.2572,5.995,8.2282
11,4.5,4.5,4.83333,5.25,0.104622,5.2538,5.2469,5.39,5.3654,8.3384
12,5,5,5,5,0.234726,5,5,5,8.522,10.062
13,6.5,6.5,6.83333,7,0.189448,6.996,6.9936,7.159,8.3288,12.0054
14,7.5,7.5,7.5,7.83333,0.233422,7.8258,7.9167,7.9242,9.4065,12.3452
15,6,7,7,7,0.366706,7.0094,7.0056,7.2578,8.0002,11.95
16,4.5,4.5,4.5,5,0.03487,5,5,5,6.997,9.5024
17,6.5,6.5,6.5,6.83333,14.6696,6.8408,6.8482,6.8304,9.9202,12.2886
18,6,6,6,6,0.048504,6,6,6,6.3312,9.3274
19,5,5,5,5.5,0.025461,5.5,5.5,5.5,5.5,9.2892
20,7,7,7,7,0.183944,7,7,7,10.7492,13.3176
21,6,6,6,6.16667,0.140082,6.1694,6.1623,6.1587,7.4258,9.7528
22,9.5,9.5,9.5,9.5,0.072012,9.4936,9.4914,9.4954,10.321,12.9208
23,7,8,8.5,8.66667,1.51113,8.6482,8.6884,8.7047,9.9314,13.0558
24,7,7,7,7.5,4.8893,8.0098,7.4998,7.5,10.4998,13.0076
25,6.5,7,7.5,7.5,0.065932,7.4892,7.5068,8.0182,8.9264,11.2336
26,6,6,6,6,0.053675,6,6,6,7,8.9892
27,7.66667,8.16667,8.66667,9.16667,1.23652,9.1665,9.1565,9.152,9.7889,13.8046
28,6.5,6.83333,7,7.25,0.618273,7.5012,7.2568,7.2611,8.3486,10.7428
29,7.5,7.5,7.5,7.5,0.336431,7.5012,7.5086,7.4998,8.1986,10.2726
30,3.5,3.5,3.5,3.5,0.037408,3.4914,3.5022,3.5,4.2552,4.2436
