Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,13.5167,14.4111,14.9278,Inf,Inf,17.7038,17.6368,18.818,23.0967,30.7742
1,14,15.6667,16.3333,Inf,Inf,19.5562,19.8104,20.6524,23.761,33.543
2,12,12.6667,12.6667,Inf,Inf,14.999,15.349,16.1858,20.2477,28.7092
3,14,15,15.8333,Inf,Inf,17,17,18.0534,25.1944,31.871
4,14.5,16.5,16.5,Inf,Inf,19.482,19.5082,20.0112,25.8241,35.0166
5,11,12,13,Inf,Inf,15.6433,15.7578,18.988,21.7749,26.467
6,14.5,15.5,16.3333,Inf,Inf,20.254,20.0039,20.8145,26.9091,35.5808
7,12,13,13.8333,Inf,Inf,19.8156,20.1558,22.8049,26.0556,34.1794
8,14.5,14.5,14.5,Inf,Inf,18.5644,17.0108,17.5564,22.4202,30.4834
9,16.5,17.5,17.5,17.5,225.563,17.4966,17.4904,17.504,24.899,32.7174
10,15,17,18.6667,Inf,Inf,21.6526,22.4569,26.4986,28.879,39.2782
11,13.5,13.5,14.5,Inf,Inf,17.3481,16.743,17.5024,23.514,30.3912
12,8.5,8.5,8.5,Inf,Inf,11.6584,11.9912,12.371,15.4776,19.5434
13,11.5,11.5,11.5,13.5,1682.52,13.995,13.498,13.5202,17.1812,23.0874
14,14,14,14,Inf,Inf,17.4222,18.2718,19.5197,22.9545,29.8458
15,15,15.6667,16.3333,Inf,Inf,18.1844,18.1592,18.221,25.4325,32.691
16,16,20,20,Inf,Inf,20.4934,21.0044,22.897,30.5985,36.6738
17,12.5,13.5,14.5,Inf,Inf,19.4942,18.76,19.4888,23.7564,30.903
18,16,17,17.5,Inf,Inf,21.2528,20.4974,22.1998,25.7488,37.8224
19,11.5,12.5,12.5,13.5,1332.68,13.5062,13.4976,13.996,20.4058,24.1658
20,17.5,18.5,19.5,Inf,Inf,21.4908,21.5804,23.1136,24.4191,36.3564
21,11.5,11.5,11.5,14,129.498,14.5068,14.0128,13.9876,14.922,21.0332
22,14.5,14.5,14.5,Inf,Inf,17.7304,18.0495,18.0456,25.59,31.5556
23,12.5,13.5,14.3333,Inf,Inf,17.937,17.5256,18.0546,21.5053,31.625
24,13.5,15,16.5,Inf,Inf,19.3326,19.369,20.9531,23.1308,33.374
25,13.5,14.5,14.5,16,2049.46,16.4892,17.5172,18.002,20.307,27.5512
26,11.5,11.5,12.5,Inf,Inf,14.5086,14.0124,15.8142,17.8793,25.019
27,11.5,11.8333,12.1667,Inf,Inf,15.2402,14.7513,15.8152,20.9233,26.645
28,16,16.6667,17,Inf,Inf,19.1178,18.2538,19.4894,25.2999,31.3954
29,15,17.3333,18.8333,Inf,Inf,22.6018,22.5481,27.172,29.5145,40.8848
30,12,12,12,Inf,Inf,14.341,14.518,15.3063,18.3769,24.8174
