Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,3.53889,3.61111,3.62778,3.67778,0.0558746,3.69461,3.67867,3.68318,4.11157,5.58835
1,6,6,6,6.25,0.351249,6.2489,6.2485,6.2558,7.1647,9.7402
2,4,4,4,4,0.290337,4.0122,4.0048,4.0008,4.9924,5.9158
3,4.5,5,5.5,5.5,0.067853,5.503,5.4982,5.4988,5.4948,7.876
4,3.5,3.5,3.5,3.5,0.014627,3.5012,3.4917,3.4929,4.0061,4.7956
5,2,2,2,2,0.010947,2,2,2,2,2.609
6,1,1,1,1,0.270607,1,1,1,1,2.197
7,3,4,4,4,0.015712,4,4,4,6,6.4752
8,2.5,2.83333,2.83333,2.91667,0.034928,2.9102,2.9037,2.9211,2.93,4.083
9,6,6,6,6,0.027578,6,6,6,6.1237,9.6018
10,5,5,5,5.25,0.051101,5.2508,5.2515,5.2455,7.2483,8.515
11,5.5,5.5,5.5,6,0.03638,6.5,6,6,6.5,8.7116
12,2,2,2,2,0.012079,2,2,2,2,3.0454
13,5,5,5,5,0.023868,5,5,5,5.247,6.9158
14,3.66667,3.66667,3.66667,3.66667,0.01822,3.6682,3.6898,3.6466,3.6554,4.3052
15,4,4,4,4,0.019375,4,4,4,4.4858,6.8472
16,3.5,3.5,3.5,3.5,0.02111,3.4982,3.5116,3.4958,3.505,5.0486
17,3,3,3,3,0.057282,3,3,3,4.4966,4.574
18,5.5,5.5,5.5,5.75,0.057173,5.7533,5.7483,5.7412,6.3371,9.4768
19,2,2,2,2,0.007771,2,2,2,2.4928,3.3898
20,4.5,4.5,4.5,4.66667,0.076369,4.6788,4.6742,4.6754,5.3334,7.5736
21,5,5,5,5,0.020312,5,5,5,5.4986,8.4686
22,3.5,3.5,3.5,3.5,0.013376,3.4984,3.5106,3.5022,3.4996,4.5436
23,3.5,3.83333,3.83333,3.83333,0.030521,3.8428,3.8308,3.9902,3.8206,5.4984
24,2,2,2,2,0.011584,2,2,2,2,2.2434
25,2.5,2.5,2.5,2.5,0.016801,2.499,2.4968,2.4982,2.5074,3.7046
26,2.5,2.5,2.5,2.5,0.025202,2.4974,2.4896,2.5178,3.0016,4.4942
27,2,2,2,2,0.014173,2,2,2,2,2.6332
28,2.5,2.5,2.5,2.5,0.015839,2.4896,2.5046,2.5065,2.5056,4.1626
29,3.5,3.5,3.5,3.5,0.042623,3.4862,3.5055,3.5065,4.5006,6.3526
30,3,3,3,3,0.02124,3,3,3,3,3.8528
