Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.51667,9.85,10.0889,Inf,Inf,11.0989,10.9844,11.3393,13.287,19.291
1,10,11.5,13,13,2.10241,12.9946,13.0036,12.9954,14.7664,19.9456
2,12.5,12.5,12.5,12.5,11.9386,12.4866,12.4884,12.5008,13.6676,20.5286
3,8.5,8.5,8.5,8.5,0.45936,8.5144,8.5006,8.4984,11.9603,16.4622
4,10,10,10,10.5,0.092382,10.9918,10.5036,10.5024,13.5064,19.0636
5,13.5,13.5,13.5,13.5,11.7986,13.4896,13.4916,13.4982,18.1714,25.246
6,9.5,9.5,9.5,11,7.28602,11.0204,11.0024,10.9866,13.9392,19.9204
7,10,10,10,Inf,Inf,13.9882,13.4918,15.2234,14.7345,22.5686
8,10.5,10.5,10.5,12.5,1.30031,12.5056,12.5164,12.5056,13.4954,16.5902
9,7.5,7.5,7.5,8,0.202708,8.0002,7.991,7.9898,9.0092,13.6494
10,4.5,4.5,4.5,4.5,0.560586,4.5176,4.5128,4.51,7.0006,8.1296
11,9.5,9.5,9.5,10,1.11934,10.5004,10.0048,9.9996,12.9652,19.627
12,10.5,11.1667,11.5,Inf,Inf,11.8416,11.8458,12.5882,16.182,23.6596
13,11,11.3333,11.3333,11.4167,58.6486,11.4046,11.4197,11.4137,14.4565,18.9434
14,6,6,6,6,0.296851,5.9966,6.002,6.0052,7.2426,9.251
15,11,12,13.6667,Inf,Inf,14.6218,14.4454,16.8709,17.4046,27.3484
16,10,10,10,13,1424.28,13.4872,13.4938,14.331,14.6345,22.617
17,6.5,7.16667,7.5,7.5,0.133645,7.5058,7.4976,7.4996,7.5044,9.8378
18,9.5,10,10.5,Inf,Inf,12.7436,12.7524,12.7493,13.597,22.3954
19,8,8,8,Inf,Inf,10.4998,10.4922,10.7458,11.6094,18.1174
20,8.5,8.5,8.5,8.5,0.319796,8.4988,8.5038,8.4892,9.9932,18.5216
21,9.5,9.5,9.5,10.5,1015.04,11.0006,10.5032,10.49,13.0066,19.2742
22,11,11,11,11.5,74.5687,11.7537,12.0004,11.998,16.8494,22.0304
23,8.5,8.5,8.5,8.5,0.575192,8.5,8.5,8.5,10.8407,16.2514
24,10,11.3333,12,12,11.7368,12.1616,11.9968,12.1646,13.5086,19.8056
25,10.5,10.5,10.5,10.6667,1.70332,11.1466,10.8364,10.9866,12.6672,18.751
26,11,11.3333,11.5,Inf,Inf,13.8282,13.4054,14.3346,16.4654,22.8398
27,12,12.6667,12.6667,12.6667,183.252,12.6734,12.659,13.168,17.2466,23.255
28,9,10,10.5,10.75,4.9055,10.8754,10.8118,11.1734,12.196,20.7416
29,8.5,8.5,9,Inf,Inf,12.7662,12.2332,12.2588,14.5798,19.8672
30,8.5,10.5,11.5,Inf,Inf,12.6508,12.626,15.2022,15.4106,23.4904
