Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,8.28333,8.85,9.15556,Inf,Inf,10.3829,10.3804,10.8024,12.8454,16.4178
1,9.5,9.5,9.5,11.25,336.662,11.643,11.2688,11.7337,13.2304,18.3482
2,8,8,8,9.25,0.100982,9.7604,9.4898,9.509,10.64,13.7796
3,8.5,10,10,10.25,2589.35,10.8846,10.9338,11.462,13.2226,18.3936
4,11.5,14,16,Inf,Inf,17.2103,17.7443,18.5542,20.9068,27.3506
5,5,5,5,5,0.088086,5,5,5,7.5024,10.039
6,7.5,7.5,8.16667,8.41667,0.754105,8.4588,8.4467,8.4148,11.1265,14.09
7,9.5,10.5,11.5,Inf,Inf,14.0988,14.3834,16.346,15.8063,21.3314
8,11,13,13,Inf,Inf,15.7775,16.6026,18.4624,19.8546,25.935
9,6.5,6.5,6.5,6.5,0.053887,6.505,6.509,6.502,8.2849,11.344
10,8,8.5,8.5,8.5,0.078856,8.7394,8.7668,9.0202,11.6878,13.7918
11,6.5,6.5,6.5,7.5,0.296628,7.4876,7.4884,7.4774,7.9138,10.5512
12,8.5,8.5,8.5,8.66667,0.148883,8.668,8.6644,8.6684,17.2618,16.1384
13,8.5,8.5,8.5,8.5,0.104841,8.5012,8.503,8.4932,13.1267,15.8764
14,8,8.5,9,10.5,60.5424,11.9902,12.0174,13.1314,13.6607,18.0966
15,11,12,12,12,0.13585,12,12,12,14.6993,19.1828
16,11,13,13,Inf,Inf,14.5119,14.5115,15.7292,18.4461,24.7176
17,9,9,9,10.3333,28.4286,10.341,10.3221,10.8126,12.0802,17.5904
18,8.5,9.5,10.5,13,118.655,14.1656,14.1652,15.104,15.3578,19.8242
19,6.5,6.5,7.5,8.66667,3.60089,8.8133,8.676,9.3389,10.749,14.3148
20,7.5,7.5,7.5,8.5,0.065606,8.4924,8.5104,8.508,10.591,11.8344
21,10,10,10,11.25,6.95756,11.4948,11.2742,11.7693,13.5546,19.9228
22,8,10,11.5,Inf,Inf,13.2574,13,14,15.656,19.8208
23,8,8,8,9.75,4.63825,10.4135,9.746,9.7496,12.6371,16.9154
24,7,8.5,9,9.83333,54.8995,9.9765,9.8886,10.0725,12.4234,13.9206
25,9,9,9,9.33333,0.29334,9.4855,9.5035,9.6816,10.9915,14.0346
26,7,7,7,7.44444,0.152606,7.5541,7.4317,7.4316,9.4976,9.4506
27,7.5,8,8.5,9,3.78893,9.748,9.0212,9.017,10.9998,13.4808
28,6.5,7.5,7.5,9.20833,4.40217,9.27367,10.2968,10.5855,12.111,16.2458
29,9,9,9.5,10.75,7.98371,10.7414,10.7462,11.0048,14.0404,16.3192
30,6.5,6.5,6.5,6.5,0.038412,6.4918,6.5016,6.4924,7.3018,9.8946
