Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,8.81667,9.21111,9.50556,Inf,Inf,10.4039,10.349,10.7648,12.4635,17.6909
1,7.5,8.16667,8.66667,10,120.437,9.995,9.983,10.7408,10.7343,17.077
2,9.5,10,10.5,10.75,13.6132,10.7496,10.7612,11.6102,15.9811,20.4152
3,8,8,8,8,0.496604,8,8,8,12,16.433
4,8.5,8.5,8.5,9,0.23648,9.4934,9.0082,9.4898,11.3721,17.5072
5,9,9.5,10,10.75,736.857,11.247,11.2403,12.2594,14.8899,19.5486
6,11,13,13.6667,Inf,Inf,15.0045,15.0828,15.7768,16.2924,23.8446
7,9,9.66667,10,10,0.378247,9.9992,10.0064,9.9982,12.518,14.2388
8,11,11,11,12,5.8618,11.9986,11.9938,11.9914,12.6714,19.372
9,10,10,10,Inf,Inf,12.2592,12.5118,13.254,15.042,22.4862
10,7,7,9,9.58333,1503.02,9.70747,9.71453,11.636,11.0829,18.5292
11,10,11,12,Inf,Inf,13.7426,12.6159,13.3279,15.2857,23.4708
12,10,10.5,11,11,0.16459,11.0054,10.986,10.9902,12.4274,18.0912
13,8,8.33333,8.33333,8.58333,250.867,8.5716,8.5826,8.5836,10.427,14.0054
14,9.5,10.5,10.5,Inf,Inf,12.9132,12.931,14.5815,15.1875,22.9178
15,10,10,10,11,17.263,11,11,11.5064,13.9152,20.4942
16,6.5,6.5,6.5,7.5,0.830492,7.4944,7.4944,7.5122,9.3836,12.5084
17,6.5,6.5,7,8.25,8.55575,8.2662,8.2399,8.5088,9.0488,12.2254
18,8,8.5,9,11,687.965,10.9904,10.9994,11.012,11.6562,15.692
19,9.5,9.5,9.5,9.5,0.178846,9.4892,9.505,9.485,10.2679,15.0096
20,8.5,8.5,8.5,9.25,0.44636,9.751,10.0012,10.0406,12.748,17.299
21,9,9,9,9,0.416844,9,9,9,11.5088,15.6144
22,12,13,13,13,3.09861,13.0977,13.1472,13.463,15.1456,22.7368
23,8.5,8.5,8.83333,9.5,0.116244,10.0228,9.5008,9.4858,11.8214,15.0468
24,9,9.33333,9.5,Inf,Inf,10.8224,10.924,12.1898,13.2644,19.9
25,10,10.5,11,Inf,Inf,13,13,13.7438,17.0428,22.7256
26,8.5,9.5,9.5,10.5,211.621,10.4854,10.5046,10.5026,12.8706,18.5806
27,7,7,7,7,0.057728,7.0056,6.992,7.007,7.4198,11.117
28,5.5,5.5,5.5,5.5,0.16326,5.5156,5.5028,5.5062,6.4926,9.3208
29,11,12.3333,13.1667,Inf,Inf,14.5048,14.2538,14.7356,16.72,23.0868
30,7,7,7,7,0.170701,6.9836,6.9864,7.0069,8.6866,11.4324
