Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,5.20556,5.20556,5.20556,5.27222,0.0795463,5.28155,5.28,5.28067,5.79014,7.85337
1,6,6,6,6,0.076801,6.001,5.9922,6.0024,5.9992,8.162
2,5.5,5.5,5.5,5.5,0.018606,5.5,5.5,5.5,5.5,7.4186
3,4.5,4.5,4.5,5.5,0.028061,5.5,5.5,5.5,6.5,8.2682
4,4,4,4,4,0.031362,4.0248,3.992,4.0006,3.9988,5.5316
5,7,7,7,7,0.100938,7,7,7,7,9.8424
6,4.5,4.5,4.5,4.5,0.029311,4.495,4.4742,4.5048,4.5094,5.163
7,6,6,6,6,0.083945,6,6,6,6.5,10.032
8,6.5,6.5,6.5,6.5,0.17657,6.498,6.5024,6.4936,7.0066,9.4824
9,4,4,4,4,0.025996,4,4,4,5,5.8864
10,6,6,6,6,0.264341,6,6,6,8.1074,9.437
11,8.16667,8.16667,8.16667,8.16667,0.04307,8.1619,8.1709,8.1692,8.1623,10.9318
12,4,4,4,4,0.090655,4,4,4,5,6.549
13,4,4,4,4.5,0.140487,4.5,4.5,4.5,6,6.598
14,5,5,5,5,0.176272,5.0051,5.0076,4.9881,4.99,6.9592
15,6,6,6,6,0.175051,6,6,6,6.4964,8.897
16,5,5,5,5,0.033015,5,5,5,5.3436,6.6624
17,5.5,5.5,5.5,5.5,0.098357,5.5,5.5,5.5,6.0076,8.284
18,4,4,4,4,0.02981,4,4,4,4,6.3248
19,5,5,5,5.25,0.070094,5.2506,5.2474,5.2515,5.5064,8.0478
20,7,7,7,7,0.112668,7,7,7,8.5058,10.8816
21,2,2,2,2,0.02835,2,2,2,2,3.128
22,7,7,7,7,0.047475,7,7,7,7,10.9932
23,4,4,4,4,0.037102,4,4,4,4,5.4792
24,5,5,5,5,0.016555,5,5,5,5,7.2776
25,7,7,7,7,0.071373,7,7,7,8,11.1262
26,5.5,5.5,5.5,5.5,0.085537,5.5132,5.4926,5.498,6.6562,8.9168
27,6,6,6,6.25,0.155872,6.4932,6.5146,6.5136,7.5072,10.8294
28,4.5,4.5,4.5,4.5,0.061742,4.5072,4.503,4.4848,5.7506,7.5874
29,3.5,3.5,3.5,3.5,0.026384,3.4966,3.503,3.5134,3.4958,4.4264
30,4,4,4,4,0.050589,4,4,4,4.1609,6.4776
