Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.71667,10.2444,10.55,Inf,Inf,11.7623,11.7069,12.2985,14.9226,19.6623
1,11.5,12.5,12.5,13,867.782,13.0116,13.5048,13.4996,15.0821,21.9458
2,8.5,9,9.5,11.5,453.287,11.7478,11.7646,13.7432,15.2557,19.0032
3,11.5,12.5,12.5,Inf,Inf,15.1878,14.9583,18.0915,19.1789,25.872
4,10,10.5,11,Inf,Inf,12,11.879,11.8707,17.7583,21.9574
5,10.5,12.1667,12.3333,12.3333,350.977,12.6826,12.9848,13.1279,15.2152,20.9726
6,10.5,10.5,10.5,Inf,Inf,13.6312,13.1689,13.2911,14.3869,21.428
7,10.5,10.5,10.5,11.75,108.699,11.7418,12.4834,12.5126,15.2234,20.325
8,8.5,8.5,8.5,9,0.057477,9.773,9.0054,9.0164,10.579,14.071
9,12.5,13.5,15.5,15.5,1493.95,16.9988,15.5004,17.013,19.2064,27.694
10,10,11,11,12.5,1159.44,12.491,12.4952,13.9988,17.8258,21.7464
11,12,12.6667,13,13,7.75953,13.017,13.0076,14.7214,18.1611,22.7464
12,8.5,9,9.5,10.5,56.1081,10.5105,10.4978,10.5,13.6686,18.247
13,11,11.6667,11.6667,13,518.768,13.859,13.5702,14.672,15.9334,20.9742
14,7,7.33333,7.66667,9,37.6123,9,9,9.6604,10.0868,14.1256
15,12,12.3333,12.3333,12.3333,8.83032,12.3272,12.335,12.4864,13.7497,19.8372
16,9.5,10.1667,10.1667,10.6667,6.66365,10.6682,10.6732,10.844,12.6144,18.4648
17,11.5,11.5,12.8333,Inf,Inf,15.0126,14.9869,17.1451,19.4545,26.0842
18,9,10,10.6667,Inf,Inf,14,14.247,16.1766,19.4609,25.336
19,8.5,10.5,10.5,10.5,0.205078,10.5,10.5,10.5,13.815,17.5762
20,9.5,10.5,11.5,12.5,80.0569,12.5178,12.4972,12.9958,17.4117,20.4118
21,9,9,9.5,10.3333,5.07447,10.3248,10.3266,10.3336,13.3579,16.7594
22,10.5,10.5,10.5,10.5,9.21798,10.5,10.5,10.5,17.069,19.0482
23,9.5,9.5,9.5,10.125,0.486571,10.1165,10.1068,10.372,12.7406,16.699
24,9.5,9.5,9.83333,10.5,0.347405,10.5078,10.5088,10.505,15.2934,16.9814
25,9.5,9.5,10.5,12.25,143.381,12.8656,12.7006,12.47,14.7954,20.8446
26,6,6,6,7.7037,2.83998,7.7102,7.683,8.0603,9.5173,11.597
27,6,6,6,8,0.336554,8,8,8.5072,10.33,12.8694
28,8.5,9.5,9.5,9.5,0.129241,9.5092,9.4959,9.4955,11.6204,15.601
29,10.5,11.5,11.5,Inf,Inf,12.1506,12.1673,12.1695,15.9358,23.2006
30,10,10,10,10.4167,2.1316,10.505,10.6598,10.6744,12.9504,17.4506
