Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,13.1556,13.9,14.2889,Inf,Inf,15.6492,15.7918,16.7544,20.0314,27.3836
1,13.5,13.5,14.5,14.5,131.068,14.5074,14.4954,14.5,21.6556,23.9216
2,13.5,13.5,13.5,Inf,Inf,15.2598,17.01,18.9946,21.998,27.1038
3,11,11,11,12.5,5.25471,12.4956,12.505,13.7521,15.8051,21.8602
4,12,12,13,14,1262.72,14.3736,14.2664,14.6258,20.7352,25.5068
5,14.5,15.1667,15.5,Inf,Inf,16.1596,16.1976,16.4664,20.5656,28.8616
6,13,13,13.6667,Inf,Inf,15,15,15,20.1799,27.0426
7,12,13.3333,14.1667,Inf,Inf,16.2996,16.1197,17.2481,17.6098,24.4804
8,13.5,15.5,17,Inf,Inf,18.9874,18.8978,20.1967,24.1288,32.9476
9,15.5,16.5,17,17.25,1304.89,17.2376,17.2652,17.2552,19.1574,29.3492
10,12,14,14,Inf,Inf,14.342,14.8202,16.0864,20.3116,26.9516
11,11.5,12.5,12.5,Inf,Inf,13.9762,14.0428,17.1294,18.6093,25.6452
12,15,15.6667,16.3333,Inf,Inf,18.7524,19.3476,21.452,23.1821,32.455
13,10,10,11.5,Inf,Inf,13.8324,13.827,15.0893,18.412,25.9658
14,14.5,16.5,16.5,Inf,Inf,18.334,19.0848,19.0788,24.2354,32.1852
15,13.5,14.5,14.6667,Inf,Inf,15.1384,15.4916,15.6898,20.3061,27.1918
16,8.66667,8.66667,8.66667,9.66667,0.750918,9.67287,9.66127,10.6789,10.6829,14.5626
17,13,14,14.1667,14.1667,50.7682,14.1686,14.174,14.8452,16.0278,24.0416
18,13.5,13.5,14,Inf,Inf,15.5,15.5,15.5,20.3832,25.3122
19,13,13,13,Inf,Inf,16.0146,15.9918,15.9942,20.4692,28.7764
20,15,16,16.5,Inf,Inf,20.415,21.8008,23.6654,26.4664,37.6958
21,14,17,17,Inf,Inf,17,17,19,20.5867,30.6892
22,13,13,13,13,28.9521,13,13,13.0828,18.1582,20.9476
23,13.5,13.5,13.5,15.5,2993.82,15.493,15.495,16.3926,18.8406,27.3374
24,17.5,18.1667,18.5,Inf,Inf,19.3298,18.972,21.3773,26.9537,36.1106
25,11,11.6667,12.3333,Inf,Inf,16.006,15.9984,19.0036,17.2997,26.8376
26,12.5,12.5,13.5,Inf,Inf,15.1378,15.1072,15.6548,18.7292,26.1992
27,16,16,16,16.125,1642.63,16.369,16.1853,16.5055,22.1226,33.2842
28,15,16.3333,16.3333,Inf,Inf,18.7512,18.1536,18.6632,22.6093,30.6756
29,10.5,11.5,11.8333,12.0833,37.0977,12.159,12.07,12.958,14.6268,19.1196
30,13.5,15.5,15.5,Inf,Inf,15.7622,16.2722,16.7462,20.0947,28.4492
