Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.2,6.22778,6.22778,6.275,0.529319,6.29837,6.27474,6.27994,6.97986,10.4081
1,8,8,8,8,0.431496,8,8,8,9.6926,15.3388
2,6,6,6,6,0.064969,6,6,6,6.8368,10.9248
3,7,7,7,7,0.200941,7,7,7,9.0192,13.3646
4,6,6,6,6,2.12395,6,6,6,7,9.9886
5,6.5,6.5,6.5,6.5,1.40959,6.4946,6.5117,6.4987,7.1659,11.6818
6,4.5,4.5,4.5,4.5,0.025,4.5,4.5,4.5,4.5,6.5474
7,6,6,6,6,0.115057,6.001,5.994,6.0044,6.9898,8.02
8,4,4,4,4,0.100996,4,4,4,4.5038,6.7252
9,7,7,7,7,0.097836,6.989,7.0026,6.9974,7.4876,10.8208
10,6,6,6,6,0.153836,5.9982,5.9856,6.003,6.9882,9.2968
11,8,8,8,8,0.385518,8,8,8,8,11.4598
12,3,3,3,3,0.027407,2.9976,3.0016,2.9978,3.9894,4.5204
13,6,6.5,6.5,6.5,0.060069,6.5024,6.5006,6.506,6.5144,11.4492
14,6.5,6.5,6.5,6.5,0.791929,6.5,6.5,6.5,7.0787,11.3424
15,4.5,4.5,4.5,4.5,0.042675,4.4922,4.5026,4.5094,4.5026,6.5884
16,5,5,5,5,0.027941,5,5,5,5,7.5588
17,6.5,6.5,6.5,6.5,0.127055,6.5048,6.4992,6.509,6.7417,12.1102
18,6,6,6,6,0.514285,5.9974,6.0054,5.9948,6.5138,8.5788
19,7,7,7,7.75,5.98748,8.2437,7.77153,7.7794,8.3338,13.9728
20,6.5,6.5,6.5,6.5,0.070579,6.5072,6.4958,6.5026,7.5056,10.178
21,7,7,7,7,0.313526,6.9901,7.0039,7.0009,7.2472,10.2156
22,9,9,9,9,0.162941,9,9,9,10.4976,16.784
23,4.5,4.5,4.5,4.5,0.131569,4.5,4.5,4.6277,6.5,8.5102
24,6.5,6.5,6.5,6.5,1.6535,6.497,6.4924,6.4944,7.01,9.5528
25,6,6,6,6,0.245637,6,6,6,7,10.8104
26,8,8,8,8.5,0.129747,8.7327,8.4882,8.4884,9.0838,14.5168
27,6,6,6,6,0.109319,6,6,6,7,11.1422
28,6,6.33333,6.33333,6.5,0.296762,6.4977,6.5,6.4995,7.6924,11.7162
29,7.5,7.5,7.5,7.5,0.024784,7.4998,7.4896,7.4904,7.4964,10.6094
30,5.5,5.5,5.5,5.5,0.053165,5.5056,5.4976,5.4944,5.5044,7.9184
