Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,14.4556,14.8778,15.1556,Inf,Inf,16.1286,16.1879,16.6857,21.0661,29.0321
1,11,11,11,11.5,1.72318,11.4948,11.4984,11.499,13.658,18.5198
2,14.5,15,15.5,Inf,Inf,17.2502,17.2424,19.3,21.804,32.7978
3,14,15,15.5,Inf,Inf,17,17,18.7544,23.4542,29.8418
4,19.5,20.5,20.5,Inf,Inf,21.0132,20.9926,23.0022,27.6221,40.4722
5,12,12,12,12.3333,10.2439,12.5058,12.8428,12.9912,16.0816,23.8612
6,11,11.5,12,12,6.21265,11.9984,12.0152,12.2446,16.9672,20.1608
7,14,14,14,Inf,Inf,14.2502,14.254,14.248,20.2684,27.892
8,12.5,13.5,13.8333,Inf,Inf,16.842,17.861,17.6224,22.569,30.467
9,12,12,12,12.75,12.0038,12.9114,12.9085,13.2335,17.6265,22.7146
10,14.5,14.5,14.5,14.5,2.17331,14.5084,14.5036,14.4946,18.4968,21.8146
11,15,16,16.5,Inf,Inf,17,17,17.0776,21.5406,31.7922
12,15,16,17,Inf,Inf,19,18.939,19.2488,22.7694,37.5542
13,8.5,8.5,8.5,8.5,0.504489,8.4982,8.4886,8.5138,9.9687,15.1294
14,15.5,15.5,15.5,Inf,Inf,16.508,16.5132,16.743,23.1731,30.228
15,12.5,13.8333,14.5,Inf,Inf,15.8496,15.9218,15.8334,18.4107,28.0082
16,11.5,11.8333,12,13,7.96098,12.995,12.998,12.994,15.5069,24.7436
17,14,14,14,15,21.4591,15.3699,15.2457,16.5002,21.782,27.549
18,15.5,16.1667,16.3333,Inf,Inf,17.0114,17.176,17.5116,23.7414,32.1474
19,17,17,17,Inf,Inf,17.5028,17.504,17.4976,29.8865,33.1552
20,17.5,17.5,19.5,Inf,Inf,21.411,21.5084,22.9992,24.2204,32.6284
21,16.6667,17.6667,18,Inf,Inf,19.9257,19.667,19.6782,21.5792,30.9016
22,17.5,17.5,18,18.5,464.649,18.5014,18.5182,18.5102,23.5014,32.244
23,15.5,16.5,17,Inf,Inf,17.1191,17.084,17.6967,22.8376,33.456
24,17,17,17,17,2.21823,17,17,17,22.8789,29.0432
25,15,15,15,Inf,Inf,15.3182,15.6756,16.3216,24.4693,33.4446
26,15,15.5,16,Inf,Inf,19.7172,20.1305,22.6189,25.7425,36.4792
27,15,15,15,15.1667,7.31469,15.3366,15.167,15.1647,17.4501,24.2232
28,11,12,12,12.5,5.14368,12.5222,12.474,13.761,14.9884,22.2152
29,17,17.5,17.5,Inf,Inf,19,19,19,23.0896,33.663
30,17,17.3333,17.5,Inf,Inf,18.4968,18.5082,18.51,25.8992,33.8148
