Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,3.85,3.89444,3.91111,3.96806,0.0359124,3.98399,3.97671,4.02045,4.40206,6.053
1,3.5,3.5,3.5,3.5,0.04965,3.4928,3.4952,3.4982,3.515,4.2156
2,1,1,1,1,0.010322,1,1,1,1,1.7896
3,2,2,2,2,0.013286,2,2,2,2,4.0016
4,4,4,4,4.25,0.037367,4.5,4.245,5.0807,5.2504,6.8592
5,2.5,2.5,2.5,2.5,0.010507,2.5,2.5,2.5,3.0074,3.2356
6,3.5,3.5,3.5,3.5,0.041108,3.5026,3.486,3.5018,3.5098,5.1082
7,5,5,5,5.08333,0.032709,5.0804,5.0864,5.0832,5.0815,8.1886
8,3,3,3,3,0.012799,3.0058,2.9998,3.011,2.9944,3.9792
9,2.5,2.5,2.5,2.5,0.036873,2.493,2.5094,2.4892,2.4962,4.136
10,3,3,3,3,0.025797,3,3,3,3.4154,4.3168
11,4,4.33333,4.5,4.5,0.089426,4.4986,4.4946,5.0096,5.656,7.2504
12,4,4,4,4.16667,0.066044,4.1651,4.1668,4.1695,5.507,7.2104
13,3,3,3,3,0.026469,2.9914,3.019,3.0051,3.3501,4.8122
14,4.5,5,5,5,0.050751,5.0034,5.0106,4.9874,5.0052,7.245
15,4,4,4,4,0.013563,4,4,4,4,6.3832
16,5,5,5,5.25,0.017428,5.4948,5.5058,5.5042,5.4942,7.5332
17,4.5,4.5,4.5,4.5,0.042457,4.514,4.5056,4.5072,5.4968,7.3118
18,5,5,5,5,0.046131,5,5,5,5.2448,7.5052
19,5,5.5,5.5,5.54167,0.095124,5.5546,5.5459,5.5457,6.5208,9.7448
20,5,5,5,5,0.018661,5,5,5,5,7.9774
21,7,7,7,7,0.032001,7,7,7,8.2461,11.0366
22,5,5,5,5,0.093793,5,5,5,6,7.8254
23,6,6,6,6,0.031045,6,6,6,7.2557,9.514
24,3,3,3.33333,3.5,0.052818,3.4794,3.4876,3.4814,3.505,4.5932
25,3,3,3,3.25,0.016957,3.2511,3.2436,3.2493,3.501,5.0046
26,3,3,3,3.5,0.033978,3.5,3.5,3.5,3.5,4.9806
27,4.5,4.5,4.5,4.5,0.013786,4.4964,4.5024,4.4946,5.5094,6.6588
28,3,3,3,3,0.01998,2.9963,2.9976,2.9954,2.9996,3.459
29,3,3,3,3,0.016579,3,3,3,3,3.6176
30,4,4,4,4,0.029963,4,4,4,5,6.0962
