Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,2.98333,2.98333,2.98333,3.00417,0.0239388,3.00452,3.00448,3.00373,3.18813,4.53694
1,3.5,3.5,3.5,3.5,0.011149,3.5,3.5,3.5,3.5,5.7062
2,1,1,1,1,0.01621,1,1,1,1,1.9406
3,2.5,2.5,2.5,2.5,0.025161,2.5058,2.5048,2.4866,2.5056,3.2338
4,3,3,3,3,0.023386,3,3,3,3,4.9418
5,3,3,3,3,0.017003,3,3,3,3,4.1576
6,3,3,3,3,0.021484,2.9964,2.9966,3.0204,2.9946,3.902
7,3,3,3,3,0.01365,3,3,3,3,4.29
8,2,2,2,2,0.007823,2,2,2,2,2.7118
9,2.5,2.5,2.5,2.5,0.012616,2.5,2.5,2.5,2.5,2.9214
10,4,4,4,4,0.027235,4,4,4,4,5.878
11,4,4,4,4.125,0.045163,4.1257,4.1225,4.1236,4.6609,8.5842
12,4,4,4,4,0.04084,4,4,4,4,6.4564
13,3,3,3,3,0.016416,3,3,3,3,4.5838
14,1,1,1,1,0.015354,1,1,1,1.4868,1.5624
15,2.5,2.5,2.5,2.5,0.018546,2.507,2.5098,2.5088,3.4858,3.3406
16,2,2,2,2,0.017495,2,2,2,2,3.5822
17,4,4,4,4,0.018402,4,4,4,4,6.0036
18,4,4,4,4,0.010018,4,4,4,4,7.0152
19,4.5,4.5,4.5,4.5,0.012794,4.4976,4.5068,4.4958,4.5028,5.9612
20,3.5,3.5,3.5,3.5,0.013258,3.5,3.5,3.5,3.5,4.5076
21,2,2,2,2,0.015555,1.994,1.9978,1.9908,1.9978,2.8464
22,2,2,2,2,0.009904,2,2,2,2,2.6788
23,3,3,3,3,0.078687,3,3,3,4,4.6168
24,3,3,3,3.5,0.037441,3.5,3.5,3.5,4.0088,4.968
25,5,5,5,5,0.094641,5,5,5,5.5046,6.6798
26,3,3,3,3,0.030311,3.0066,2.9908,2.992,3.4958,4.3038
27,4,4,4,4,0.032604,4,4,4,4.5064,7.4608
28,2.5,2.5,2.5,2.5,0.007486,2.5024,2.5052,2.4938,2.4968,3.1902
29,1,1,1,1,0.016259,1,1,1,1,2.2736
30,4,4,4,4,0.011273,4,4,4,4.4973,5.8096
