Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,7.61667,7.85,7.98333,8.29444,5.83628,8.32621,8.34738,8.4313,9.75354,13.261
1,7,8.5,8.5,9,8.93822,9,9,10.5367,10.2858,15.7314
2,7,7,7,8,0.132994,8,8,8,9.2417,12.1614
3,5,5,5,5,0.0117487,5.001,4.996,4.9918,6.4984,5.876
4,6.5,6.5,6.5,6.83333,0.21744,6.8416,6.838,6.8432,8.7784,12.477
5,8,8,8,8,0.124931,8,8,8,9.4447,15.86
6,8.5,9.5,9.5,9.5,0.439262,9.4894,9.4872,9.4972,9.9824,14.3296
7,10,10,10,10.5,2.31144,10.4934,10.5076,10.4894,11.3632,16.3384
8,9,9.5,10,10,0.175523,10,10,10.2438,12.4164,15.9742
9,8,8,8,8,0.0435381,8,8,8,9,11.9992
10,7,7,7,7,0.552278,6.9972,6.9918,6.994,9.0004,11.2922
11,6.5,6.5,6.5,6.5,0.0636246,6.503,6.5034,6.4992,6.7504,10.4238
12,7.5,7.5,7.5,7.5,0.0554463,7.5098,7.4908,7.5078,8.5126,11.6698
13,7.5,7.5,9.5,10.8333,19.9903,10.8532,10.8122,10.8318,11.4112,15.921
14,6.5,6.5,6.5,6.5,0.0238471,6.4932,6.503,6.5004,7.2621,10.3788
15,10,10,10,10,0.126435,10,10,10,14.3292,15.6548
16,7.5,8,8,8.5,0.285647,8.5028,8.4986,8.4934,10.7184,15.2876
17,4,4,4,5,0.0679043,5,5,5,5,6.6116
18,8,8,8,8,0.0541671,8,8,8,8,14.8382
19,11.5,12,12,12,0.365608,12.0184,11.997,12.0026,14.6152,17.2922
20,4,4,4,4,0.0292122,4,4,4,4.4942,7.347
21,9.5,9.5,9.5,9.5,0.560861,9.5,9.5,9.5,12.0038,12.837
22,5.5,5.5,5.5,6,0.0310784,5.9948,5.9906,5.9968,8.7994,11.2234
23,8,8,8,8,0.236908,8.005,8.0002,7.995,10.2516,11.7968
24,10,11,11,12.1667,123.033,12.4984,12.5118,14.0088,13.2268,20.2866
25,7.5,7.5,7.5,8.25,0.482822,8.8273,9.0134,8.2454,10.75,14.8738
26,9,9.5,10,10.75,16.1048,10.7521,10.7475,10.7476,12.6302,17.3536
27,5.5,5.5,5.5,5.5,0.0557371,5.4852,5.5052,5.4836,5.979,8.7356
28,5.5,6,6.5,7.5,0.311088,7.502,7.495,7.5046,7.6168,11.467
29,10,10.5,11,11,0.0742887,11,11,11,13,18.3388
30,9,9.5,9.5,9.5,0.188229,9.5184,10.0322,10.0258,11.2438,13.4536
