Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,6.2,6.58889,6.77778,7.28333,0.738821,7.40903,7.44981,7.61365,8.53873,11.2863
1,6,8,8,9,13.6023,9.4972,9.5118,10.8384,9.7948,14.5054
2,6.5,6.5,7,8,0.127361,8.5134,8.0004,8.0094,8.988,11.7824
3,7,7,7,7.75,0.248616,8.4136,8.4203,8.4104,10.4996,13.5274
4,5.5,5.5,5.5,5.75,0.087667,6.0766,5.9076,6.2558,8.0658,9.4942
5,4.5,4.5,4.5,4.5,0.020746,4.4934,4.5176,4.4968,5.7474,8.038
6,9,10,10,10.9167,1.61257,11.4978,11.5,11.339,13.9984,16.1546
7,5,5,6,7,0.316138,7,7,7.3348,7.5604,10.3772
8,8,8.5,8.5,9.08333,0.965196,9.1592,9.4176,9.4188,11.5745,14.5662
9,5,5.66667,6.66667,7,0.124423,6.9936,6.9972,6.9962,7.2445,10.615
10,5.5,5.5,5.5,6.16667,0.344484,6.1792,6.5798,7.0405,7.2429,9.7318
11,8,9,9,9.5,0.235426,9.5064,10,10,11,15.8752
12,5,5,5,6,0.038763,6,6,6,6,8.0176
13,6.5,6.5,6.5,6.5,0.041159,6.5,6.5,6.5,6.9838,10.9496
14,5,5.33333,5.66667,6,0.08802,6,6,6.1666,7.4143,9.7666
15,6,6,6,6,0.04234,6,6,6.248,6.59,10.4274
16,6.5,6.5,6.5,8.5,0.453966,8.4816,8.753,9.9265,9.1952,12.4782
17,7.5,8.5,9,9.5,0.481228,9.4912,9.5036,9.6626,10.1128,13.7644
18,5,5.66667,6,6.5,0.483914,6.7492,6.748,7.5018,8.7666,10.8068
19,8,8.5,8.5,8.5,0.048396,8.504,8.5088,8.5058,10.6973,12.4108
20,7.5,9,10,10.25,0.447061,10.4988,10.5404,10.908,10.8756,14.5432
21,6.5,6.83333,7,7.33333,0.187169,7.36827,7.4786,7.32887,8.3084,10.1616
22,7,7.66667,8,8.5,1.17309,8.5856,8.9168,8.838,11.2881,13.5566
23,4.5,4.5,4.5,5.5,0.086158,5.5014,5.5082,5.5054,6.4818,7.4308
24,8,9,9,9,0.125667,9.0824,9,9,10.2581,13.9628
25,3,3,3,4,0.065656,4,4,4,4.5096,5.9148
26,7,7.5,8,8,0.065911,8,8,8,8.6692,12.7504
27,7.5,7.5,7.5,7.5,0.040673,7.5017,7.5027,7.5029,8.5036,11.2834
28,7.5,7.5,7.5,7.91667,0.542964,8.3322,8.3452,8.3354,9.6562,12.2616
29,4.5,4.5,4.5,4.83333,0.04443,4.8402,4.8398,4.8378,5.3966,7.3034
30,3.5,3.5,3.5,3.5,0.023116,3.504,3.4968,3.5016,4.7384,6.1316
