Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,8.98333,9.18333,9.3,9.57593,7.26043,9.63167,9.61387,9.76187,11.6637,16.0055
1,9,9,9,10,4.74027,10,10,10,11,18.5114
2,8,8,8,8,0.430982,8,8,8,10.0494,11.7246
3,7,7,7,7,0.063297,7,7,7,7,11.331
4,9.5,10.1667,10.1667,10.3333,4.71929,10.4939,10.4162,10.4079,13.0369,18.1604
5,10,10.5,11,11,1.02169,11,11,11.2552,13.3048,18.0816
6,9.5,9.83333,10.1667,10.5,0.379218,10.5044,10.4852,10.4914,12,16.3618
7,13,13,13,13,0.461661,13,13,13,15.2512,20.9364
8,12.5,12.5,12.5,13.5,1.83201,13.4966,13.5036,13.9938,18.1211,21.514
9,6,6,6,6.25,0.78739,6.9956,6.9854,7.5095,8.4873,11.7324
10,6.5,6.5,6.5,6.5,0.074965,6.5,6.5,6.5,8.992,11.0394
11,8.5,8.5,8.5,8.5,1.73221,8.5,8.5,8.5,11.7436,14.5318
12,9.5,9.5,9.5,10.4167,0.48852,10.413,10.4111,10.4116,11.0816,15.7678
13,7.5,7.5,7.5,7.5,0.438453,7.5,7.5,7.9854,11.3074,13.393
14,11.5,12.5,12.5,12.75,66.5565,12.7674,12.9798,13.001,17.1269,21.2184
15,9,9,9,9,0.973974,8.9979,9.0153,8.9983,11.0006,15.0514
16,11,12,12,12,0.618933,12.334,12,13,16.3404,20.8852
17,9,9,9,9,0.642803,9,9,9.3296,10.4696,14.0268
18,7.5,8,8,9.08333,7.96601,9.1578,9.1754,9.6441,10.5144,16.1376
19,11.5,11.5,11.5,11.5,48.2292,11.504,11.495,11.6812,13.4494,19.338
20,9.5,9.5,9.5,10.9444,3.06357,11.0123,10.9568,11.4725,13.5062,20.0228
21,9,9,9,9.5,2.23233,9.5,9.5,9.5455,11.7584,16.6996
22,7.5,7.5,7.5,7.5,0.353064,7.4955,7.4964,7.5,9.2511,15.2778
23,9,9,9,9,0.113142,9,9,9,10.7602,13.3894
24,7.5,7.5,8.16667,9.25,63.0179,9.2428,9.2603,9.2441,10.0076,16.5638
25,9.5,9.5,9.5,9.5,0.526764,9.5004,9.51,9.501,12.6263,15.4234
26,8.5,9.5,10.5,10.5,4.36717,10.5074,10.4854,10.4948,10.4938,15.8092
27,6,6,6,6,0.122316,6,6,6,7.7418,10.3656
28,10,10,10,10,0.693603,10.0096,9.9974,10.0014,11.3316,15.1854
29,7.5,8.5,9.5,9.5,0.876742,9.5016,9.492,9.6267,11.2643,13.6158
30,9.5,9.5,9.5,9.75,0.288949,10.0158,9.7508,9.761,10.893,18.0702
