Rows,b,b_1,b_2,opt,time,EG,EM,ERI,L,Rand.
Average,9.1,9.37222,9.39444,Inf,Inf,9.60501,9.60208,9.72517,11.3787,16.642
1,11,11.6667,12,12.75,695.957,12.7515,12.7529,12.8202,14.2988,21.3822
2,7.5,7.5,7.5,8.25,30.905,8.4207,8.2368,8.4171,10.926,15.4066
3,11.5,11.5,11.5,12,0.532417,11.9868,11.998,11.996,13.8205,21.616
4,7,7,7,7,0.268831,7,7,7,9.1176,13.2476
5,9,9,9,9,1.46754,9,9,9,9.758,15.0024
6,7.5,7.5,7.5,8,0.554157,7.9832,8.0022,7.9892,8.6708,12.5
7,10,10,10,10,0.34641,9.9994,10.0066,10.0124,11.167,14.928
8,9.5,9.5,9.5,9.5,1.79538,9.501,9.4908,9.4918,11.8908,16.782
9,7.5,8.5,8.83333,9.5,209.029,9.5064,9.4944,9.97093,11.1738,15.9178
10,7,7,7,7,0.352931,7.0118,6.9938,6.9986,9.0246,13.213
11,9,9,9,9.625,1.00329,9.6257,9.6214,9.7544,11.1878,18.8978
12,8.5,9.5,9.5,9.5,1.74086,9.6192,9.5,9.5,12.171,18.5904
13,10.5,11,11,11,0.56642,11.0064,11.0012,11.002,11.2634,18.8896
14,7.5,7.5,7.5,7.5,0.15894,7.4958,7.4988,7.486,8.4988,14.2128
15,8.5,9.5,9.5,9.5,0.172185,9.497,9.4968,9.5084,10.5119,16.082
16,10,10,10,10,0.735861,10,10,10,11.372,17.821
17,11.5,11.5,11.5,11.5,3.15385,11.4996,11.4954,11.5038,13.9282,17.3836
18,9,10,10,Inf,Inf,11.0052,10.7203,11.4831,12.01,17.2996
19,8,8,8,8,0.242358,8,8,8,8.5012,13.3142
20,5.5,5.5,5.5,6,0.180953,5.9998,5.9988,5.998,7.997,9.3448
21,9,9,9,9,1.26706,9,9,9,11.5842,15.3262
22,9,9,9,9,3.97431,9,9,9,10.5538,14.9782
23,8.5,8.5,8.5,8.5,6.31704,8.4974,8.4982,8.4978,11.8566,15.5068
24,9,9,9,9.25,2.98674,9.2584,9.2595,9.2621,11.6588,18.6402
25,10,10,10,10,19.2865,10,10,10.0828,12.991,16.4516
26,9,9,9,9,5.86105,9,9,9,11.2443,17.701
27,10.5,11.5,11.5,11.5,1.1814,11.491,11.5008,11.4938,12.6748,19.0078
28,9.5,9.5,9.5,9.5,2.48446,9.5004,9.4928,9.5008,11.822,15.02
29,13,15,15,15,2.04991,15,15,17,16.7599,25.7734
30,10,10,10,10.5,2.6536,10.4936,11.003,10.9858,12.9272,19.0236
