Instance,Batch,Online,Difference,%
Average,6.526,6.61,0.084,1.287
1,4.5,4.5,0,0
2,6.66,6.786,0.126,1.89189
3,5.87,5.875,0.005,0.0851789
4,5.299,5.309,0.01,0.188715
5,4.361,4.417,0.056,1.28411
6,7.411,7.437,0.026,0.35083
7,6.156,6.262,0.106,1.7219
8,6.469,6.5,0.031,0.479209
9,6.403,6.444,0.041,0.640325
10,4.062,4.125,0.063,1.55096
11,7.391,7.418,0.027,0.365309
12,6.743,6.743,0,0
13,7.163,7.163,0,0
14,9.283,9.422,0.139,1.49736
15,7.767,7.778,0.011,0.141625
16,4.437,4.5,0.063,1.41988
17,8.267,8.38,0.113,1.36688
18,6.882,7.069,0.187,2.71723
19,6.868,6.883,0.015,0.218404
20,5.417,5.626,0.209,3.85822
21,6.607,6.801,0.194,2.93628
22,4.833,4.91,0.077,1.59321
23,6.083,6.208,0.125,2.05491
24,5.833,5.845,0.012,0.205726
25,9.08,9.195,0.115,1.26652
26,5.699,5.71,0.011,0.193016
27,6.979,7.013,0.034,0.487176
28,11.521,11.918,0.397,3.44588
29,8.437,8.567,0.13,1.54083
30,9.045,9.268,0.223,2.46545
31,4.333,4.333,0,0
32,2.958,2.958,0,0
33,7.727,7.745,0.018,0.232949
34,6.802,6.802,0,0
35,8.462,8.549,0.087,1.02813
36,7.476,7.764,0.288,3.85233
37,8.844,9.038,0.194,2.19358
38,4.632,4.639,0.007,0.151123
39,6.491,6.519,0.028,0.431367
40,7.059,7.149,0.09,1.27497
41,4,4.104,0.104,2.6
42,3.444,3.444,0,0
43,6.516,6.566,0.05,0.767342
44,6.756,6.79,0.034,0.503256
45,5.028,5.208,0.18,3.57995
46,7.253,7.394,0.141,1.94402
47,5.319,5.347,0.028,0.526415
48,6.842,7.028,0.186,2.7185
49,5.673,5.682,0.009,0.158646
50,5.993,6.003,0.01,0.166861
51,6.617,6.698,0.081,1.22412
52,7.889,8.076,0.187,2.37039
53,3.774,3.865,0.091,2.41123
54,9.306,9.542,0.236,2.536
55,6.714,6.726,0.012,0.178731
56,4.264,4.391,0.127,2.97842
57,8.227,8.268,0.041,0.498359
58,3.934,4.035,0.101,2.56736
59,7.35,7.359,0.009,0.122449
60,5.609,5.724,0.115,2.05028
61,6.031,6.146,0.115,1.90681
62,10.634,10.835,0.201,1.89016
63,4.468,4.476,0.008,0.179051
64,6.041,6.122,0.081,1.34084
65,7.484,7.648,0.164,2.19134
66,2.917,2.917,0,0
67,7.76,7.896,0.136,1.75258
68,10.497,10.569,0.072,0.68591
69,4.486,4.514,0.028,0.624164
70,4.014,4.014,0,0
71,9.65,9.96,0.31,3.21244
72,3.972,4.028,0.056,1.40987
73,6.842,6.938,0.096,1.4031
74,7.256,7.321,0.065,0.89581
75,7.083,7.09,0.007,0.0988282
76,6.292,6.361,0.069,1.09663
77,6.297,6.315,0.018,0.28585
78,7.657,7.676,0.019,0.248139
79,8.088,8.198,0.11,1.36004
80,3.583,3.583,0,0
81,6.984,7.146,0.162,2.31959
82,7.452,7.475,0.023,0.308642
83,9.368,9.542,0.174,1.85739
84,3.849,3.922,0.073,1.8966
85,3.792,3.792,0,0
86,5.754,5.884,0.13,2.2593
87,7.784,7.839,0.055,0.706578
88,7.074,7.081,0.007,0.0989539
89,6.847,6.99,0.143,2.08851
90,8.526,8.65,0.124,1.45437
91,8.025,8.251,0.226,2.8162
92,4.333,4.333,0,0
93,6.622,6.715,0.093,1.40441
94,8.405,8.551,0.146,1.73706
95,6.608,6.608,0,0
96,5.479,5.51,0.031,0.565797
97,7.9,8.064,0.164,2.07595
98,6.391,6.519,0.128,2.00282
99,6.737,6.9,0.163,2.41947
100,6.772,6.792,0.02,0.295334
