Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,8.69167,9.12222,9.3475,Inf,Inf,4.34583,10.5992,10.516,10.9118,12.6068,17.79
1,7,7.8,8.3,Inf,Inf,3.5,10.279,10.2532,11.1914,11.2208,17.157
2,9,9.2,9.3,Inf,Inf,4.5,9.89103,9.91167,10.1742,14.4628,18.9538
3,8,8.25,8.41667,8.70833,3.02404,4,8.8827,8.7462,8.8065,11.3829,16.119
4,7.5,7.5,7.5,Inf,Inf,3.75,9.2434,8.9088,8.895,10.1299,16.1292
5,9,10,10.4,Inf,Inf,4.5,12.2664,12.0977,13.0534,14.8698,20.6838
6,11,12.5,12.75,Inf,Inf,5.5,14.5341,14.515,15.0773,16.3231,23.7618
7,8,8.5,8.66667,8.62802,6.9661,4,8.6568,8.6654,8.9172,11.7918,13.4532
8,11.5,12.3,12.7,Inf,Inf,5.75,13.77,13.7118,14.2072,15.2355,21.7316
9,9.5,9.5,9.5,Inf,Inf,4.75,12.4097,12.3523,13.052,14.548,21.7466
10,7.5,8.83333,9.33333,Inf,Inf,3.75,10.5664,10.492,11.8992,11.7462,18.9814
11,10,10.6,11.15,Inf,Inf,5,13.4068,13.0928,13.3942,15.6842,23.413
12,10,10.4,10.6667,11.1169,88.5218,5,11.672,11.34,11.3242,12.4827,18.2894
13,7.5,8,8.16667,8.46912,992.759,3.75,8.7507,8.7479,8.6619,10.0489,14.5892
14,9.5,10.5,11,Inf,Inf,4.75,13.3148,13.3607,14.8338,16.1983,23.0464
15,10,10,10,Inf,Inf,5,11.0266,11.0548,11.2778,13.4983,19.93
16,5.66667,5.86667,6.03333,7.2066,1148.84,2.83333,7.466,7.1468,7.1894,8.4612,12.021
17,6.91667,7.41667,7.91667,Inf,Inf,3.45833,8.6693,8.6579,9.1179,10.3603,13.231
18,7.33333,7.66667,8,10.0822,1910.9,3.66667,10.3636,10.3224,10.401,11.6748,15.4296
19,9.5,9.5,9.5,9.56723,3.10721,4.75,9.6784,9.68,9.658,11.0326,16.0104
20,9.5,9.5,9.5,9.86547,70.5854,4.75,10.5182,10.4974,10.5706,14.1784,18.7318
21,8.5,9,9.25,9.5,94.9127,4.25,9.7735,9.5516,9.8456,11.6234,16.0542
22,11,11.75,12,12.2194,198.799,5.5,12.5719,12.675,12.8781,15.181,21.279
23,9.16667,9.16667,9.16667,9.73232,20.2088,4.58333,10.0121,9.8206,9.853,11.6294,15.731
24,9,9.5,9.75,Inf,Inf,4.5,11.4298,11.41,11.8166,13.4036,19.7852
25,10,10.5,10.8333,Inf,Inf,5,12.959,13,14.5552,16.2466,22.2284
26,8.5,8.5,8.5,Inf,Inf,4.25,10.5844,10.4305,10.9342,13.0109,17.6006
27,7.66667,7.66667,7.66667,7.50614,1.23763,3.83333,7.671,7.6478,7.6738,8.6457,12.0308
28,5,5,5,5.6,0.953661,2.5,5.841,5.8028,5.8168,6.6446,9.5652
29,11,11.75,12.4583,Inf,Inf,5.5,14.4171,14.2327,14.974,17.1294,23.5298
30,7,7,7,7.27917,8.54591,3.5,7.3516,7.355,7.3048,9.3581,12.486
