Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,4.575,4.82056,4.93333,5.49546,3.19775,2.2875,5.68766,5.65188,5.74313,6.32558,8.21555
1,4.5,5,5.16667,5.61111,0.35542,2.25,5.6178,5.6026,5.71573,5.738,7.665
2,6.66667,6.66667,6.66667,6.81429,1.79939,3.33333,6.8416,6.7954,6.9538,7.942,9.0064
3,6.16667,6.91667,6.91667,7.5681,4.64694,3.08333,7.9731,7.9091,8.0019,8.0443,10.6666
4,4.5,4.75,4.91667,5.17969,0.396581,2.25,5.4274,5.4174,5.557,6.7122,8.3288
5,4.33333,4.33333,4.33333,4.50982,1.18355,2.16667,4.51347,4.49892,4.54377,4.76147,6.7152
6,4.5,4.75,4.83333,5.35139,1.25193,2.25,5.4484,5.42623,5.45037,5.7686,7.7572
7,3.5,3.75,4.04167,4.37019,1.06097,1.75,4.59,4.5692,4.6273,5.1334,6.7392
8,5.16667,5.16667,5.16667,5.77361,6.1993,2.58333,5.9348,5.8953,5.9369,7.2818,8.885
9,4.5,5,5.08333,5.47222,0.629333,2.25,5.5652,5.6758,5.8306,7.1374,8.756
10,5.5,5.5,5.5,5.79286,1.08268,2.75,5.8398,5.8402,5.8156,6.4084,8.4236
11,3.41667,3.41667,3.41667,4.18182,0.104478,1.70833,4.3082,4.222,4.3986,4.509,5.7302
12,3,3,3,3.65859,1.01474,1.5,3.66137,3.64463,3.6992,4.0464,5.1814
13,5,5,5,6.24151,14.3291,2.5,6.64427,6.47663,6.6634,7.02367,10.1028
14,5,5,5,5.58108,0.690192,2.5,6.1167,5.7851,5.8173,6.6241,8.476
15,4,4,4,4.80885,0.243058,2,4.8382,4.8158,4.8294,5.4818,6.8822
16,2.66667,2.66667,2.66667,3.56291,0.177706,1.33333,3.69,3.6946,3.6928,3.8488,5.0186
17,2.5,2.9,3.25,4.03088,0.521754,1.25,4.2451,4.1814,4.164,4.2317,6.5916
18,4.5,4.5,4.5,4.7125,0.14171,2.25,4.7242,4.7436,4.7698,5.4674,6.9198
19,5,5.5,6,6.04048,0.561278,2.5,6.2626,6.2644,6.2482,7.0802,9.0642
20,5,5.4,5.5,5.77879,1.50464,2.5,5.8328,5.8346,5.9564,6.4856,7.917
21,5.16667,5.16667,5.16667,5.55556,0.275746,2.58333,5.7998,5.6154,5.5974,6.9544,8.055
22,5,5.4,5.7,6.29902,1.7535,2.5,6.9342,6.5329,6.5956,7.3346,9.8844
23,5.5,5.75,5.91667,6.45227,3.23795,2.75,6.7185,6.5175,6.4895,7.8345,9.8408
24,5.5,6,6,6.7212,3.11691,2.75,6.88237,7.08332,7.29783,7.9596,10.5134
25,4.16667,4.41667,4.66667,5.38994,1.47981,2.08333,5.53007,5.5376,5.49803,5.7238,8.0376
26,4.5,5.5,6,6.76869,5.91926,2.25,7.1074,7.0876,7.477,7.366,10.4132
27,4.5,4.5,4.5,5.00427,0.950823,2.25,5.288,5.669,5.6806,5.9972,7.3822
28,4,4,4,4.66667,0.956055,2,4.89003,4.72077,4.74727,5.6733,7.2188
29,5.5,6.5,6.81667,7.73333,33.0368,2.75,8.27643,8.22817,8.8665,9.0433,12.4698
30,4,4.16667,4.275,5.23202,7.31069,2,5.128,5.2713,5.3722,6.1545,7.8246
