Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,4.02222,4.11667,4.15222,4.24449,0.582483,2.01111,4.31046,4.29045,4.31393,4.72642,6.52133
1,4.66667,5,5,5.00597,0.944172,2.33333,5.1852,5.0945,5.0637,5.837,7.5502
2,3.5,3.5,3.5,3.62982,0.368496,1.75,3.6332,3.6122,3.6258,3.9445,5.6848
3,5,5,5,5.25,0.208006,2.5,5.493,5.2414,5.4242,6.163,8.5206
4,6,6,6,5.89683,0.161878,3,6.0156,5.9944,6.008,6.8536,8.4042
5,5,5,5,5,0.181853,2.5,5,5,5,5.4504,7.672
6,4.5,4.7,4.75,4.90789,0.249606,2.25,4.8821,4.8725,4.873,5.3822,7.6242
7,3.5,3.5,3.5,3.54598,0.740654,1.75,3.5076,3.4952,3.5098,3.5212,4.6624
8,4,4.2,4.35,4.55965,1.10737,2,4.8813,4.8258,4.8299,5.366,7.5546
9,4,4,4,4.02015,0.383489,2,4.1636,4.1636,4.1597,4.3484,6.1866
10,3.5,3.5,3.5,3.51341,0.340527,1.75,3.5562,3.5316,3.575,3.7012,5.3056
11,4,4,4,4,0.397561,2,4.0146,3.994,4.003,4.4564,5.3662
12,5.16667,5.16667,5.16667,5.18794,0.239359,2.58333,5.21057,5.21047,5.21367,5.83447,7.8732
13,3,3.33333,3.43333,3.6511,0.356895,1.5,3.6557,3.6745,3.76003,4.0686,6.5496
14,3,3,3,3.23611,0.136804,1.5,3.3751,3.3762,3.3872,3.5289,5.435
15,2.5,2.7,2.86667,2.87404,0.712545,1.25,3.0106,2.9972,3.081,3.1624,4.4984
16,4.5,4.5,4.5,4.29245,0.723211,2.25,4.5082,4.4978,4.4996,4.5284,7.0394
17,3.66667,3.66667,3.66667,3.8365,1.38047,1.83333,3.6624,3.6512,3.6702,4.0934,5.8328
18,3.5,3.5,3.5,4.44305,2.41451,1.75,4.4267,4.4207,4.4091,5.0034,7.4668
19,3.5,3.5,3.5,3.47368,0.235509,1.75,3.498,3.4956,3.5052,3.8562,5.0948
20,4.5,4.5,4.5,4.51429,0.912066,2.25,4.63403,4.5898,4.69323,5.6922,7.4594
21,4.5,5,5.16667,5.16667,0.279356,2.25,5.1696,5.1712,5.1616,5.5187,8.2
22,4,4,4,4.05449,0.178119,2,4.1818,4.3312,4.3388,4.414,6.0628
23,3.5,3.5,3.5,3.5,0.186144,1.75,3.508,3.4948,3.5014,3.499,5.385
24,5.16667,5.5,5.66667,5.97917,1.50306,2.58333,5.9226,5.922,5.9292,5.9855,8.3108
25,3,3,3,3.375,0.147042,1.5,3.4968,3.2467,3.4198,3.6638,5.1556
26,3.5,3.83333,4,4.07018,0.174133,1.75,4.0724,4.1726,4.1622,5.0622,6.529
27,5,5,5,5,0.088895,2.5,5,5,5,5.7288,7.099
28,4.5,4.5,4.5,4.42187,0.411881,2.25,4.5151,4.5308,4.5265,4.5981,7.063
29,2.5,2.9,3,3.12852,2.04816,1.25,3.1286,3.1076,3.0942,3.3668,4.2078
30,4,4,4,3.8,0.262728,2,4.0052,3.998,3.9928,5.1638,5.8462
