Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,16.85,17.3933,17.8047,Inf,Inf,8.425,20.9886,20.8264,21.9728,28.0455,38.0428
1,16,16.5,16.925,Inf,Inf,8,18.8942,18.8397,19.2405,23.3835,31.4404
2,13.5,15,16.3333,Inf,Inf,6.75,21.668,21.1576,23.0544,26.3883,39.0098
3,20,20,20,Inf,Inf,10,26.4308,27.6532,33.2989,34.956,47.5214
4,15.5,15.75,15.9167,Inf,Inf,7.75,18.6746,18.1352,18.705,24.5334,33.565
5,18,18.3333,18.6667,Inf,Inf,9,20.8098,21.5283,23.0703,30.7493,39.6276
6,17,17.5,18,Inf,Inf,8.5,22.6459,22.6275,24.9588,29.5881,41.6018
7,16.5,16.75,17.0417,Inf,Inf,8.25,22.8991,21.5225,23.1756,27.503,38.0482
8,17.6667,18.6667,19.5,Inf,Inf,8.83333,21.5051,21.0849,21.9663,28.2845,38.2782
9,20.5,20.75,20.75,Inf,Inf,10.25,22.5894,22.2135,23.4463,33.1202,41.2872
10,18.5,18.75,19,Inf,Inf,9.25,22.7822,23.4019,24.6434,31.0473,44.7044
11,18,19,20,Inf,Inf,9,24.8694,24.4077,27.6032,32.6824,44.299
12,17.5,17.5,17.5,Inf,Inf,8.75,21.9637,21.7266,21.8669,25.102,34.2128
13,15.5,16.5,17.5,Inf,Inf,7.75,23.3355,22.3973,24.2981,29.0678,40.3648
14,16,16.4,16.6,Inf,Inf,8,18.7366,18.1033,18.9876,26.6292,34.3038
15,19,21,22.0833,Inf,Inf,9.5,25.4457,26.1029,27.3889,37.7143,48.31
16,15.5,15.75,15.9167,Inf,Inf,7.75,17.2911,17.1593,17.8908,28.6102,34.4792
17,15.5,15.5,15.5,Inf,Inf,7.75,17.1508,17.1724,17.1932,22.4595,29.5718
18,13,13,13,Inf,Inf,6.5,13.7513,13.7448,13.8216,21.8723,28.4008
19,18.5,19.3,19.7,Inf,Inf,9.25,22.1177,21.518,22.8176,31.1149,42.1008
20,17.5,17.6667,17.8083,Inf,Inf,8.75,20.1255,20.3447,20.9553,27.9658,36.049
21,17,17.25,17.5,Inf,Inf,8.5,21.1263,20.9108,21.3922,26.6608,38.848
22,15,15.5,15.8333,Inf,Inf,7.5,17.9106,17.5084,17.7369,20.8084,30.206
23,12.6667,13.1667,13.6667,Inf,Inf,6.33333,14.7277,14.7279,15.2851,21.1657,28.726
24,14.5,15,15.5833,Inf,Inf,7.25,19.8107,19.203,19.7095,23.9089,32.4562
25,17.5,17.8333,18,Inf,Inf,8.75,22.2364,23.0767,24.7167,29.688,42.5794
26,19.6667,19.6667,19.6667,Inf,Inf,9.83333,21.0422,20.8408,21.8568,29.3713,38.4564
27,18.5,19.6667,20.3,Inf,Inf,9.25,22.172,22.5371,22.1535,29.125,39.8636
28,17.5,18.25,19,Inf,Inf,8.75,23.2388,22.2532,23.2502,32.7149,42.554
29,16.5,17.75,18.3333,Inf,Inf,8.25,23.1353,22.6272,24.0109,27.847,42.9924
30,17.5,18.1,18.5167,Inf,Inf,8.75,20.5712,20.2644,20.6893,27.3027,37.4266
