Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,3.61111,3.71444,3.72833,3.93066,0.251731,1.80556,3.98891,3.99028,3.9981,4.33832,5.82065
1,6,6,6,6.88095,0.626872,3,7.05707,7.00137,6.9999,7.514,10.2346
2,4,4,4,4.44444,0.21894,2,4.5589,4.506,4.4786,5.2062,6.5844
3,4.5,4.9,5,5.54167,0.525686,2.25,5.5661,5.4735,5.4454,5.9511,8.6166
4,4,4,4,3.95,0.094613,2,3.999,4.0092,3.9878,4.6424,5.6884
5,2,2,2,1.93564,0.144161,1,2.0008,2.0054,2.0042,2.3872,2.808
6,1,1.2,1.35,1.46154,0.067364,0.5,1.5018,1.4964,1.4954,1.5022,2.584
7,3,3.5,3.5,4,0.053539,1.5,4.0108,4.2489,4.4955,5.2478,6.6014
8,2,2.25,2.33333,2.5,0.375053,1,2.4249,2.4229,2.4737,2.5348,3.6508
9,4.66667,4.66667,4.66667,4.71515,0.346312,2.33333,4.7399,4.7345,4.7322,4.8958,7.7262
10,4,4,4,4.66875,0.167645,2,4.90107,4.7491,4.7631,5.47,7.0472
11,5,5,5,5.20588,0.122534,2.5,5.484,5.2579,5.247,6.0718,8.1938
12,3,3,3,3.11429,0.149057,1.5,2.9986,3.002,3.0006,3.0468,4.2142
13,4,4,4,4.20208,0.150842,2,4.21613,4.21693,4.221,5.0132,6.475
14,4.16667,4.16667,4.16667,4.16667,0.113338,2.08333,4.1572,4.1548,4.1848,4.1606,5.1234
15,4.5,4.5,4.5,4.95,0.070732,2.25,4.9147,5.2179,5.252,5.4711,7.377
16,3.66667,3.66667,3.66667,3.88889,0.129582,1.83333,3.88293,3.89313,3.88813,3.9926,5.2968
17,3.5,3.83333,3.83333,4.33584,0.277141,1.75,4.4782,4.676,4.662,5.1612,6.1436
18,5.5,5.5,5.5,6,0.155113,2.75,5.9948,5.9926,5.996,6.0361,8.632
19,2,2,2,2,0.010397,1,2,2,2,2.2508,2.8972
20,4.5,4.75,4.83333,5.30625,0.414059,2.25,5.4729,5.4097,5.3596,5.5231,8.0126
21,5,5.66667,5.66667,6.07051,0.471283,2.5,6.1928,6.1745,6.1418,6.2503,9.2728
22,4.16667,4.16667,4.16667,4.16667,0.082473,2.08333,4.1682,4.1586,4.1604,4.5234,5.6394
23,4.16667,4.66667,4.66667,4.61321,0.811082,2.08333,4.7735,4.7238,4.8113,5.1629,6.5972
24,2.66667,2.66667,2.66667,2.56944,0.408061,1.33333,2.6802,2.6642,2.6558,2.9396,3.521
25,2.5,2.5,2.5,2.46,0.178387,1.25,2.4998,2.4976,2.5028,2.832,3.9588
26,2.5,2.5,2.5,2.53846,0.100857,1.25,2.4866,2.4982,2.5034,2.9138,3.711
27,2.16667,2.16667,2.16667,2.1055,0.347441,1.08333,2.1642,2.2098,2.167,2.1622,2.5498
28,3,3,3,3.02857,0.261555,1.5,3.0062,2.9908,2.9984,2.984,4.5722
29,4.66667,4.66667,4.66667,4.57943,0.521329,2.33333,4.7063,4.6923,4.6979,5.5341,7.149
30,2.5,2.5,2.5,2.52,0.156491,1.25,2.6296,2.6304,2.6172,2.7686,3.7412
