Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,9.64722,9.94889,10.1194,Inf,Inf,4.82361,11.3737,11.374,11.6731,13.4444,19.513
1,10.6667,11.6667,12.1667,12.9219,92.3483,5.33333,13.1804,13.0196,13.2749,14.6299,20.6162
2,10.9167,10.9167,10.9167,10.8749,463.962,5.45833,11.2126,11.069,11.15,12.8214,18.3336
3,8.5,8.5,8.5,8.41698,42.0348,4.25,8.5072,8.498,8.4968,11.786,16.665
4,10.5,10.5,10.5,10.8889,2.75044,5.25,10.9818,10.9958,11.5036,14.3601,20.0234
5,13.5,13.5,13.5,13.7396,236.323,6.75,13.7568,13.7464,13.748,17.045,24.6966
6,9.5,9.9,10.25,Inf,Inf,4.75,11.8896,12.6165,12.6839,14.0716,21.6976
7,10.5,10.8333,11.1667,Inf,Inf,5.25,13.8665,13.5264,14.2188,15.5132,22.7404
8,10,10,10,10.506,71.9841,5,10.9743,10.8284,10.8469,11.8981,15.6118
9,7.5,7.5,7.5,8.33114,3.01795,3.75,8.23837,8.22083,8.209,8.8706,14.0458
10,5.16667,5.16667,5.16667,5.66667,147.218,2.58333,5.8338,5.662,5.6608,7.6269,9.3432
11,9.5,9.5,9.5,Inf,Inf,4.75,11.5638,11.2686,11.255,13.6558,20.1774
12,10.5,11.3,11.7,Inf,Inf,5.25,13.4282,13.3161,14.1196,16.1683,25.1374
13,10.1667,10.3333,10.4,10.4169,2872.75,5.08333,10.4709,10.4307,10.5042,12.6191,16.979
14,5.66667,5.66667,5.66667,5.51923,18.3264,2.83333,5.6926,5.6716,5.6506,6.4604,8.7814
15,12,13.75,14.6667,Inf,Inf,6,16.9118,16.249,18.9842,19.2261,29.1434
16,10.5,10.5,10.5,12.5573,431.762,5.25,13.6408,13.7518,13.8875,15.1521,22.9168
17,7.5,7.5,7.5,7.88415,7.31015,3.75,8.05113,7.948,7.923,8.89587,11.6256
18,10,10.6667,11.3333,Inf,Inf,5,13.3494,13.3858,13.7804,14.0782,22.7248
19,9.16667,9.16667,9.16667,Inf,Inf,4.58333,10.9689,11.439,11.7926,13.4303,19.6124
20,9.5,9.5,9.5,9.95588,8.15226,4.75,10.3166,9.9922,9.9976,12.7994,20.058
21,10,10,10,Inf,Inf,5,11.7348,11.1331,11.3615,13.8684,19.9338
22,11,11,11,Inf,Inf,5.5,13.1352,15.5431,16.0423,17.122,23.134
23,8.5,8.83333,9,Inf,Inf,4.25,9.9902,9.6658,9.8454,11.0378,17.0574
24,9.5,10.1667,10.5333,10.74,730.009,4.75,11.288,11.1174,11.1891,13.1765,19.8658
25,10.1667,10.1667,10.1667,10.4444,3.83433,5.08333,11.0088,10.876,10.966,13.5675,17.979
26,11,11.25,11.4167,Inf,Inf,5.5,13.9585,14.3236,14.5478,16.157,24.0514
27,11.5,11.9,12,12.088,509.912,5.75,12.2536,12.1067,12.3754,15.5473,21.4222
28,9,9.75,10,10.4444,1235.08,4.5,10.5168,10.4897,10.6731,12.1447,18.8902
29,9,9.33333,9.66667,Inf,Inf,4.5,13.3388,13.0016,13.0106,15.074,20.2222
30,8.5,9.7,10.2,Inf,Inf,4.25,11.1517,11.3281,12.4957,14.5288,21.9052
