Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,8.81667,9.00222,9.10722,Inf,Inf,4.40833,9.65716,9.5977,9.72231,11.5214,15.6968
1,9,10,10.5,10.75,5.22982,4.5,10.9936,10.7435,10.76,11.394,18.386
2,6.5,6.5,6.5,6.68077,18.3146,3.25,6.8978,6.7446,6.7753,8.619,10.3182
3,7.66667,7.66667,7.66667,7.66667,10.1375,3.83333,7.6726,7.6742,7.6772,7.6884,11.7356
4,9,9.5,9.5,Inf,Inf,4.5,10.5341,10.5891,10.5574,13.0247,17.6898
5,10,10.3333,10.5,11.375,15.4937,5,11.3743,11.3665,11.4902,13.2741,17.5314
6,11.1667,11.1667,11.1667,11.3739,41.917,5.58333,11.3687,11.4091,11.4335,12.7098,16.325
7,13.5,13.5,13.5,13.3393,5.52033,6.75,13.486,13.4994,13.5012,16.0641,22.0956
8,12,12,12,Inf,Inf,6,13.6299,13.5599,13.6313,15.8922,21.1628
9,6,6,6,6.78409,875.171,3,7.1735,7.0809,7.1021,8.3689,12.0208
10,6.5,6.5,6.5,6.66327,2.13506,3.25,6.6658,6.6644,6.665,8.6148,10.3138
11,8,8.33333,8.5,8.86111,20.3128,4,9.2202,9.2624,9.6812,11.8174,14.853
12,9,9,9,9.91667,4.19396,4.5,9.9103,9.9085,9.9218,10.7672,15.1886
13,6.5,6.5,6.5,6.91667,420.182,3.25,6.9972,6.99807,7.50937,10.4569,12.1324
14,11.5,11.9,12.1333,12.2549,516.806,5.75,12.8188,12.5304,12.6746,17.2026,21.7568
15,8.5,8.5,8.5,8.5,20.6583,4.25,8.4904,8.4766,8.5034,10.4662,14.0376
16,11,11.5,12,Inf,Inf,5.5,13.7355,13.5817,14.6017,16.3602,21.4448
17,7.5,7.5,7.5,7.39171,32.961,3.75,7.5168,7.494,7.6192,9.3338,11.3936
18,7.5,7.83333,8,8.39657,1235.59,3.75,8.4966,8.5334,9.0243,10.0306,14.9982
19,11,11,11,11.1787,656.813,5.5,11.3523,11.2783,11.3804,13.541,18.55
20,9.5,9.83333,10,Inf,Inf,4.75,11.2747,11.2043,11.7468,13.3756,19.8558
21,9.5,9.5,9.5,10.0833,312.889,4.75,10.1708,10.0948,10.0988,13.6873,17.8884
22,7.5,7.5,7.5,7.80665,88.2853,3.75,8.1012,8.098,8.0868,9.8233,16.2802
23,7.66667,7.66667,7.66667,7.91667,3.53723,3.83333,7.8968,7.9208,7.9096,8.6994,11.5414
24,7.5,7.75,7.91667,8.58046,128.155,3.75,9.1487,8.7438,8.7517,10.5062,15.547
25,8.5,8.5,8.5,8.58117,28.214,4.25,8.6641,8.6637,8.6879,10.9198,14.1482
26,8.5,9.16667,9.83333,9.94199,148.01,4.25,10.168,9.9938,9.9816,10.6981,15.1558
27,6,6.25,6.33333,6.41667,228.893,3,6.4994,6.4113,6.42,7.4693,10.7262
28,10,10,10,9.99521,663.961,5,9.9898,10.0042,9.9754,11.943,14.921
29,8,8.66667,9,9.25,8.08373,4,9.2568,9.234,9.3249,11.3677,13.6146
30,10,10,10,10.1407,11.9825,5,10.2102,10.1673,10.1765,11.5266,19.2916
