Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,9.13333,9.31056,9.35889,Inf,Inf,4.56667,9.65686,9.63466,9.67961,11.4432,16.7289
1,11.5,12,12.2,Inf,Inf,5.75,12.8317,12.7547,12.8726,15.1765,22.053
2,7.5,7.75,7.83333,8.23657,2317.04,3.75,8.4079,8.4212,8.4153,10.7278,15.3134
3,11.5,11.7,11.85,12.05,4.66277,5.75,12.0132,11.9892,12.0038,13.3776,21.4792
4,7,7,7,7,1.98941,3.5,7,7,7,9.0419,13.3042
5,9,9,9,9,39.5884,4.5,9.0164,8.995,8.9978,10.2099,14.5154
6,7,7,7,6.92429,14.9076,3.5,7.1662,7.1862,7.162,8.1959,12.1312
7,10.5,10.75,10.8333,10.7056,5.28527,5.25,10.8276,10.8348,10.879,11.668,15.9042
8,9.66667,9.66667,9.66667,9.67745,111.12,4.83333,9.6782,9.6752,9.6696,11.5393,16.9566
9,7.5,8.25,8.41667,9.08225,580.472,3.75,9.14847,9.16067,9.50543,10.8804,15.5498
10,7,7.16667,7.26667,7.33862,19.6126,3.5,7.5349,7.5336,7.5784,9.4312,14.326
11,9,9,9,9.16814,10.4554,4.5,9.2504,9.2563,9.2884,10.3474,17.8336
12,9,9.5,10,10,10.2117,4.5,10.1319,9.9966,10.0038,11.9834,18.516
13,11,11.2,11.2,11.0833,52.8427,5.5,11.1814,11.198,11.1842,11.839,19.2908
14,7.5,7.75,7.83333,7.84722,4.03269,3.75,7.999,8.0068,7.998,9.3368,14.684
15,9.5,9.5,9.5,10,18.1703,4.75,10.0068,9.9944,10.005,10.6997,16.6758
16,10.5,11,11,10.7238,67.8804,5.25,10.9978,10.986,11.0022,13.1487,19.0744
17,10.6667,10.6667,10.6667,10.5506,80.5078,5.33333,10.6366,10.663,10.6616,12.3776,15.9566
18,8,8,8,8.97385,2351.09,4,9.6053,9.1617,9.2699,10.7292,15.9784
19,7.5,7.5,7.5,7.42381,4.74755,3.75,7.4928,7.5054,7.4976,9.0481,12.692
20,6,6,6,6.67007,70.852,3,6.7567,6.7357,6.9737,8.156,10.07
21,9,9,9,9.4127,6.60569,4.5,9.8298,9.4826,9.5046,12.4031,16.2802
22,9,9,9,9,3.23455,4.5,9,9,9,10.5968,14.8384
23,8,8,8,8.18813,48.5,4,8.1747,8.1711,8.1779,10.7034,14.1646
24,9,9.5,9.5,10.0475,491.067,4.5,10.1614,10.1635,10.3819,12.5145,19.3126
25,10.1667,10.1667,10.1667,10.0741,541.786,5.08333,10.2944,10.3101,10.4589,13.0807,18.0554
26,9.5,9.5,9.5,9.5,298.661,4.75,9.5157,9.5097,9.5668,12.241,17.9752
27,10,10.25,10.3333,10.3333,18.7192,5,10.3326,10.3284,10.3392,11.7232,17.7844
28,9.5,9.5,9.5,9.5,25.4681,4.75,9.5091,9.5106,9.5066,11.5625,15.9652
29,13,14,14,14.25,13.3868,6.5,14.2581,14.2514,14.2496,17.5245,26.2276
30,10,10,10,10.728,19.0034,5,10.9468,11.2578,11.2346,13.0308,18.9584
