Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,5.19444,5.21389,5.21944,5.30624,0.788845,2.59722,5.30598,5.31023,5.31311,5.79483,7.91655
1,6,6,6,6,0.396193,3,5.9924,5.9994,5.9996,6.1222,8.098
2,5,5,5,5,0.067945,2.5,5,5,5,5,6.2278
3,5.16667,5.16667,5.16667,5.66667,0.26462,2.58333,5.66667,5.66667,5.66667,7.04567,8.905
4,3.5,3.5,3.5,3.51351,0.635066,1.75,3.4954,3.5108,3.496,3.9972,4.936
5,7,7,7,7,0.662047,3.5,7,7,7,7.258,9.6804
6,4,4,4,4,0.413103,2,3.9958,4.004,4.0232,4.0054,5.0112
7,6.5,6.5,6.5,6.5,0.447726,3.25,6.5,6.5,6.5,7,10.9464
8,7,7,7,7,2.9307,3.5,6.9998,6.999,7.0052,7.2574,10.2366
9,5,5,5,5.03659,0.856581,2.5,5.0002,4.9978,5.0052,5.502,6.884
10,6,6,6,6.12857,3.04434,3,6.1257,6.1336,6.1188,7.5052,9.2852
11,8.16667,8.16667,8.16667,8.41304,0.99439,4.08333,8.4075,8.4061,8.4343,8.65,11.3796
12,3.5,3.5,3.5,3.83333,0.701358,1.75,3.8454,3.8276,3.8286,4.92,6.482
13,3,3.33333,3.5,3.75,1.02744,1.5,3.749,3.7458,3.7586,4.502,5.5876
14,5,5,5,5,1.71633,2.5,4.9796,4.9806,4.998,5.169,7.1496
15,6,6,6,6.16667,1.0427,3,6.1706,6.1672,6.1671,6.7656,8.973
16,5,5,5,5.125,0.060187,2.5,5.1351,5.1242,5.11,5.2518,6.7082
17,5,5,5,5.02308,0.427251,2.5,5.0038,5.003,5.0026,5.4946,8.3652
18,5,5,5,5,0.195921,2.5,5.009,5.013,4.9982,5.4968,7.3418
19,5,5,5,5.25,0.830813,2.5,5.2511,5.247,5.2522,5.6708,8.092
20,6.5,6.5,6.5,6.5438,1.61444,3.25,6.6218,6.7706,6.7752,8.0309,10.5834
21,2.5,2.5,2.5,2.5,0.145497,1.25,2.5008,2.5044,2.4978,2.492,3.924
22,6.5,6.75,6.75,6.75,0.474935,3.25,6.7464,6.7578,6.7488,7.081,10.6196
23,4,4,4,3.90374,1.15471,2,4.0076,3.9908,3.9958,3.9898,5.4526
24,4.5,4.5,4.5,4.5,0.074175,2.25,4.5008,4.498,4.5154,4.4988,6.8772
25,6.5,6.5,6.5,6.5,0.466825,3.25,6.511,6.507,6.5106,7.0064,10.7436
26,6,6,6,6.11111,1.40234,3,5.9922,5.9984,6.005,7.5433,9.1028
27,6,6,6,6.30556,0.495779,3,6.30737,6.3064,6.29847,6.9662,10.5776
28,4.5,4.5,4.5,4.66667,0.601726,2.25,4.6703,4.6491,4.6713,5.2031,7.2456
29,3.5,3.5,3.5,3.5,0.421403,1.75,3.5052,3.5006,3.5078,3.5068,4.5264
30,4.5,4.5,4.5,4.5,0.098818,2.25,4.4888,4.498,4.5028,4.913,7.5542
