Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,6.11667,6.47667,6.61472,7.17449,126.37,3.05833,7.36052,7.40853,7.47681,8.44364,11.016
1,6,8,8,9.16484,2508.44,3,9.81367,11.1565,11.0655,10.8529,14.1844
2,6.5,6.83333,7.16667,7.91389,6.67351,3.25,8.1608,8.0754,8.0747,8.8187,11.5678
3,7,7,7,7.48763,3.51288,3.5,8.1928,8.189,8.2584,10.0365,12.8946
4,5.5,5.7,5.86667,6.125,3.71755,2.75,6.2102,6.2146,6.3644,7.18,9.4884
5,4.5,4.5,4.5,4.73629,0.758968,2.25,4.7497,4.7446,4.7386,5.6916,7.3382
6,9.5,10,10,10.7527,16.9603,4.75,11.1676,11.066,11.1162,13.9792,15.863
7,5.5,6,6.5,8.25447,33.89,2.75,8.8641,8.661,8.4308,8.7966,11.9478
8,7.5,7.83333,8,9.19216,7.23661,3.75,9.4303,9.3543,9.4034,10.8028,13.692
9,5,5.33333,5.61667,6.17765,15.6361,2.5,6.4868,6.521,6.617,7.2614,10.3072
10,5,5,5,5.77111,11.1107,2.5,5.8477,6.1541,6.1464,6.3485,9.0306
11,8.5,9.75,9.75,10.4014,104.343,4.25,10.5957,10.8248,11.3656,12.9995,16.5636
12,5,5.25,5.54167,6,2.33057,2.5,6.0116,5.9914,5.9988,6.2904,8.1014
13,6.5,6.5,6.5,7,0.259229,3.25,7.0128,6.9984,6.9992,7.2518,11.2628
14,5,5.25,5.5,6.28654,3.43081,2.5,6.375,6.3671,6.5735,7.3585,10.2698
15,6,6.16667,6.26667,6.41759,6.44253,3,6.3897,6.38277,6.5168,7.0467,10.333
16,6.5,7,7,8.15123,66.0047,3.25,8.3123,8.23307,8.23037,8.6964,11.7692
17,7.5,7.9,8.1,8.62337,8.57157,3.75,8.6494,8.7507,8.8157,9.8193,13.0624
18,5.5,6,6.26667,6.86625,38.3034,2.75,6.96,7.0826,7.4167,8.4267,10.9974
19,6.5,6.5,6.5,6.79185,1.70129,3.25,6.9084,6.8916,6.8604,8.453,10.135
20,7,7.8,7.95,8.27712,3.18464,3.5,8.30213,8.6964,9.06707,9.8468,12.475
21,6.16667,6.36667,6.53333,6.78688,7.65784,3.08333,6.8364,6.8432,6.8258,7.7412,9.982
22,6.5,6.9,7.18333,8.23307,902.148,3.25,8.6258,8.73627,8.87643,10.4606,13.012
23,4,4.8,5.2,5.5,0.810768,2,5.5834,5.4994,5.5082,6.809,8.0922
24,8,8.5,8.66667,9.09218,10.407,4,9.69483,9.244,9.1736,10.5554,13.8264
25,2.5,2.5,2.5,3.0399,4.79707,1.25,3.1207,3.1172,3.4155,3.5118,5.1494
26,7.5,7.83333,8.16667,8.58108,1.72699,3.75,8.81697,8.64933,8.5708,9.8409,13.529
27,6.5,6.75,6.83333,6.85519,7.07163,3.25,6.822,6.8264,6.8178,8.392,10.215
28,7.5,7.5,7.5,7.72208,11.1133,3.75,7.8422,7.9618,8.0164,9.8264,11.9668
29,4.66667,4.66667,4.66667,4.86667,1.97024,2.33333,4.869,4.8574,4.8607,5.3514,7.0826
30,4.16667,4.16667,4.16667,4.16667,0.893209,2.08333,4.1636,4.1656,4.1794,4.8632,6.3404
