Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,11.7667,12.41,12.8042,Inf,Inf,5.88333,15.9415,15.9129,16.8621,19.8294,25.4513
1,13.5,14.5,14.5,Inf,Inf,6.75,18.0564,17.5392,17.4678,22.0398,27.6006
2,12,13.25,13.8333,Inf,Inf,6,18.7256,18.6733,19.2568,21.6117,28.7746
3,14,15.3333,16,Inf,Inf,7,20.7606,20.2749,22.7952,24.5039,32.4934
4,12.6667,12.6667,12.6667,Inf,Inf,6.33333,15.8079,16.2308,17.1263,20.6038,25.1342
5,10.5,11.1667,11.5167,Inf,Inf,5.25,12.5057,12.4646,13.1399,15.2403,20.6826
6,10.0833,10.6833,10.9833,Inf,Inf,5.04167,11.5765,11.5965,11.6651,15.1823,17.07
7,11.5,12.3,12.9,Inf,Inf,5.75,16.5125,17.4715,17.6719,18.8776,25.5736
8,13.5,13.75,14,Inf,Inf,6.75,15.742,15.0804,15.6858,22.6138,26.3422
9,14,15,15.8333,Inf,Inf,7,19.805,20.8037,22.3893,23.3552,31.3608
10,11,11.75,12.25,Inf,Inf,5.5,15.833,15.3869,16.4776,19.713,24.8166
11,12.8333,13.3333,13.8333,Inf,Inf,6.41667,16.7374,15.9482,16.2596,19.8824,24.068
12,9,9.75,10.4167,Inf,Inf,4.5,12.9256,12.7914,13.9686,15.844,20.9562
13,11.5,12.5,13,Inf,Inf,5.75,16.1397,16.4856,17.4252,20.028,26.02
14,12.1667,13.1667,13.5833,Inf,Inf,6.08333,15.8339,15.9086,16.6126,19.4552,26.3916
15,12.5,13.5,13.9167,Inf,Inf,6.25,16.0261,16.4616,18.9023,20.542,26.1146
16,10,11,11.8333,Inf,Inf,5,16.7714,16.1875,17.8496,21.1113,27.5398
17,12,12.8,13.2,Inf,Inf,6,16.4369,15.4074,16.4524,22.0285,25.788
18,11.6667,12,12.3333,Inf,Inf,5.83333,17.1939,16.9056,17.7728,22.1982,28.5816
19,9.5,9.5,9.5,Inf,Inf,4.75,14.1823,13.7069,14.0451,16.3232,20.9786
20,11.5,12.1667,12.6667,Inf,Inf,5.75,16.24,16.1046,16.3095,17.5706,26.2916
21,14.5,16,17,Inf,Inf,7.25,21.6728,21.6773,25.008,28.0882,34.3684
22,11.5,11.5,11.5,Inf,Inf,5.75,13.873,14.1201,15.8412,16.1519,22.429
23,8.58333,8.58333,8.58333,9.08333,34.7731,4.29167,9.12647,9.06727,9.08767,10.4893,12.3934
24,12,12.5,12.7917,Inf,Inf,6,14.7084,15.174,15.6378,20.5745,24.6984
25,9.5,10.5,11.3333,Inf,Inf,4.75,13.9508,13.8088,14.0207,17.0301,23.1972
26,13.5,13.7,13.8,Inf,Inf,6.75,17.3007,18.8087,19.3069,21.4671,27.8698
27,11.5,11.5,11.5,Inf,Inf,5.75,17.4325,16.9375,18.1771,20.2887,28.4232
28,12,12.3333,12.5,Inf,Inf,6,15.0795,15.277,16.0176,20.6683,25.4468
29,10.5,10.9,11.35,Inf,Inf,5.25,14.7522,14.5572,15.5486,18.9496,23.3444
30,14,14.6667,15,Inf,Inf,7,16.5362,16.5292,17.9432,22.4502,28.79
