Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,2.95556,3.02056,3.04917,3.33072,0.143755,1.47778,3.36233,3.36972,3.38423,3.66726,4.84989
1,1.5,1.5,1.5,1.64414,0.117394,0.75,1.6624,1.674,1.661,2.3206,2.3532
2,1.5,1.5,1.5,1.5,0.043227,0.75,1.5068,1.5076,1.4874,1.501,2.1148
3,4.5,4.7,4.75,5.32018,0.389552,2.25,5.64017,5.6823,5.6478,6.0677,8.1146
4,2.5,2.5,2.5,2.91667,0.091447,1.25,3.0136,2.9245,2.9191,3.5375,4.403
5,2.5,2.9,3,3.18333,0.090212,1.25,3.1152,3.10597,3.241,3.166,4.7724
6,3,3,3,4.08333,0.024263,1.5,4.08387,4.08213,4.08067,4.2452,6.5934
7,1.5,1.5,1.5,1.5,0.030046,0.75,1.4938,1.5092,1.5106,1.4972,1.7026
8,2.5,2.5,2.5,2.5,0.070695,1.25,2.498,2.5022,2.5164,2.6966,3.3086
9,3,3,3,3,0.10764,1.5,3.0074,3.003,3.0108,3.1677,4.221
10,2,2,2,2,0.065877,1,1.9936,2.0082,2.0082,2.5078,3.1978
11,4.5,4.75,4.83333,5.33333,0.181496,2.25,5.4098,5.6951,5.6718,5.8532,7.7002
12,3,3,3,3.5,0.189409,1.5,3.5875,3.5869,3.5988,3.6095,5.0076
13,2,2,2,2.17327,0.148496,1,2.0532,2.058,2.2763,2.4542,2.874
14,2.5,2.5,2.5,3.08333,0.017283,1.25,3.0834,3.0824,3.08317,3.5087,4.4934
15,3,3,3,3.08929,0.092465,1.5,3.1302,3.124,3.1296,3.2574,4.9132
16,3.5,3.7,3.81667,4.02381,0.154535,1.75,4.1648,4.1715,4.1611,4.5669,6.5216
17,2.66667,2.66667,2.66667,2.54167,0.190526,1.33333,2.67,2.6682,2.6636,3.4556,3.578
18,3,3,3,3.38889,0.12328,1.5,3.39667,3.3856,3.56887,4.3266,4.8848
19,4,4,4,4,0.073602,2,4.0172,4.0098,4.0182,4.2082,5.3438
20,1.5,1.66667,1.80833,2.25714,0.169604,0.75,2.0574,2.0488,2.0418,2.1726,3.1726
21,2.5,2.5,2.5,2.5,0.396909,1.25,2.4868,2.5064,2.4894,2.57,3.592
22,4.5,4.5,4.5,5.35088,0.306673,2.25,5.38657,5.22673,5.23287,5.5148,7.8062
23,3,3.33333,3.5,4.17308,0.128966,1.5,4.2484,4.5051,4.5116,4.5358,6.1004
24,4,4.4,4.6,5.03509,0.245934,2,5.1148,5.0065,4.9914,5.2304,7.449
25,2,2,2,2.28713,0.167858,1,2.22387,2.20987,2.2145,2.4571,3.0474
26,4.5,4.5,4.5,4.5,0.096675,2.25,4.6012,4.6318,4.616,5.0895,6.5444
27,5,5,5,4.76923,0.035997,2.5,5.0258,5.0271,5.0212,5.6238,7.5566
28,3.5,3.5,3.5,3.5,0.070887,1.75,3.486,3.4928,3.5042,3.688,4.6454
29,3,3,3,3.83333,0.092191,1.5,3.84273,3.84273,3.84047,3.93533,5.426
30,2.5,2.5,2.5,2.93443,0.399517,1.25,2.8687,2.81323,2.80903,3.253,4.0588
