Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,19.4861,20.2411,20.6631,Inf,Inf,9.74306,23.8344,23.6526,24.9563,32.0446,44.1151
1,16.5,17,17.5,Inf,Inf,8.25,23.4804,23.9602,25.7851,29.6753,45.2342
2,21.5,22.5,23.1333,Inf,Inf,10.75,28.2731,29.361,32.1523,37.6709,52.9362
3,19,19.6667,20,Inf,Inf,9.5,25.1204,24.6213,25.8682,33.9466,47.7858
4,23,23.75,24.0833,Inf,Inf,11.5,25.8453,27.2087,28.9403,37.4834,54.2388
5,13.1667,13.9167,14.5833,Inf,Inf,6.58333,17.3155,17.1533,17.6992,21.4915,29.9408
6,19,20,20.7333,Inf,Inf,9.5,25.1059,23.9147,26.1309,33.3512,44.7636
7,15.5,18,19,Inf,Inf,7.75,20.608,20.6244,23.9864,27.1609,38.1634
8,20.5,21.1,21.6,Inf,Inf,10.25,25.7464,25.8516,28.3322,34.1735,50.0936
9,21,22.5,22.8333,Inf,Inf,10.5,25.8525,25.8035,26.7646,35.3594,47.7632
10,19.5,19.8333,20.1667,Inf,Inf,9.75,24.3965,24.1969,25.3836,35.3439,44.9254
11,22.5,23.1,23.35,Inf,Inf,11.25,25.2497,25.0868,25.3314,36.5745,46.7614
12,17.5,17.5,17.5,Inf,Inf,8.75,18.5056,18.4934,18.5112,24.5464,34.3036
13,22,23.5,23.8333,Inf,Inf,11,26.2355,25.3794,26.6008,36.7833,50.1464
14,20.5,20.5,20.5,Inf,Inf,10.25,23.0641,21.6121,21.6271,29.003,43.415
15,20.5,20.5,20.5,Inf,Inf,10.25,20.5,20.5,20.5101,30.2621,43.0698
16,19.5,21.1667,22.3333,Inf,Inf,9.75,25.8647,25.667,27.1172,36.3573,48.2742
17,22.6667,22.8667,23.0333,Inf,Inf,11.3333,23.9221,23.7001,23.8406,31.8415,41.4758
18,20.5,20.9,21.3333,Inf,Inf,10.25,27.2844,26.3232,29.7421,36.5562,50.5076
19,20,20,20,Inf,Inf,10,21.99,21.9056,22.5724,30.6528,41.421
20,16.5,16.75,17.0417,Inf,Inf,8.25,21.844,21.269,23.0327,26.6495,36.2274
21,22.9167,24.25,24.5833,Inf,Inf,11.4583,28.7225,28.1967,30.3411,36.4212,50.8622
22,20,22,22.6667,Inf,Inf,10,24.0628,24.2476,24.4098,29.888,40.5408
23,14.5,15.1667,15.8333,Inf,Inf,7.25,19.4047,19.7087,19.9364,26.2812,35.6842
24,21.5,22.1667,22.5833,Inf,Inf,10.75,25.7392,25.5082,26.7431,35.3709,48.309
25,21.1667,21.7667,22.0833,Inf,Inf,10.5833,23.8417,23.7095,24.4271,30.7003,44.7044
26,19.5,20.75,21.5833,Inf,Inf,9.75,24.9057,24.7927,25.1222,35.1168,45.968
27,19.5,19.75,20,Inf,Inf,9.75,26.2047,25.6957,28.5568,35.0782,46.1014
28,15.1667,15.1667,15.1667,Inf,Inf,7.58333,15.1688,15.1702,15.4244,21.5138,27.588
29,20,21,21.5,Inf,Inf,10,24.0132,23.3181,24.601,31.6122,44.6978
30,19.5,20.1667,20.8333,Inf,Inf,9.75,26.7632,26.5975,29.1983,34.4733,47.549
