Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,15.45,16.2833,16.7242,Inf,Inf,7.725,19.9443,19.8254,21.2055,25.7333,34.7017
1,20,22,22.6667,Inf,Inf,10,28.7643,28.5915,30.5072,35.245,48.4282
2,13,13.4,13.8333,Inf,Inf,6.5,16.8866,16.8056,18.114,24.0711,29.6234
3,16,17.2,17.3667,Inf,Inf,8,19.7452,19.2925,21.657,25.0385,34.3824
4,16.5,17.1667,17.8333,Inf,Inf,8.25,21.7282,21.6856,22.0813,29.4667,40.3566
5,13,13.5,13.6667,Inf,Inf,6.5,15.0103,14.586,15.7471,19.7898,25.4024
6,16,17,17.6333,Inf,Inf,8,21.3003,21.5418,23.3322,27.9249,35.7952
7,13.5,13.7,13.85,Inf,Inf,6.75,15.6001,15.001,15.3232,19.7281,24.9274
8,13.5,13.75,14.0417,Inf,Inf,6.75,18.2169,17.6169,17.6583,21.7687,29.4364
9,17,18.25,19.7083,Inf,Inf,8.5,25.3928,25.0127,28.4594,29.8162,42.8134
10,14.5,14.5,14.5,Inf,Inf,7.25,16.2705,16.089,17.3435,19.9575,28.8708
11,14,15.5,16.4,Inf,Inf,7,21.625,21.9201,24.635,26.7968,38.4128
12,16,16,16,Inf,Inf,8,18.4414,17.7483,17.9091,23.1964,31.696
13,12.5,12.8333,13.1667,Inf,Inf,6.25,15.7943,15.3918,15.6402,18.1738,26.2126
14,14.6667,15.4667,16.2167,Inf,Inf,7.33333,18.7391,18.6814,19.5884,23.5236,32.398
15,12.5,12.5,12.5,Inf,Inf,6.25,14.5202,14.5134,14.4938,17.8256,23.8332
16,13.5,13.5,13.5,Inf,Inf,6.75,16.3803,15.6422,16.7451,21.6995,29.6796
17,13,13.3333,13.6667,Inf,Inf,6.5,17.7212,17.0246,18.442,21.8523,30.0392
18,17.5,18.8333,19.5,Inf,Inf,8.75,24.644,25.2876,27.8868,34.5483,45.6346
19,18.5,19.5,19.8333,Inf,Inf,9.25,23.2516,24.4833,26.4841,32.6753,44.2078
20,13,14.3333,15,Inf,Inf,6.5,17.0966,17.095,19.7525,23.013,31.8878
21,15,15.4,15.7,Inf,Inf,7.5,19.4438,19.095,20.2537,25.0568,31.2548
22,19,20,20.6,Inf,Inf,9.5,24.488,24.9557,26.5651,33.771,44.351
23,17.5,19,19,Inf,Inf,8.75,21.6868,21.4435,22.6011,28.4541,35.4234
24,16,18,19.3333,Inf,Inf,8,23.4712,22.2859,25.0468,27.7676,41.4592
25,15.5,16.25,16.75,Inf,Inf,7.75,20.4431,20.1592,21.7091,27.4747,38.236
26,12.5,12.5,12.5,12.6667,456.262,6.25,12.6744,12.6468,12.9064,16.4874,21.0694
27,16.5,18.8333,19.8333,Inf,Inf,8.25,24.1644,23.9765,25.9504,29.4122,40.8772
28,19.1667,21.1667,21.5,Inf,Inf,9.58333,25.2722,26.4509,28.3265,33.0617,42.6056
29,14.1667,14.4167,14.625,Inf,Inf,7.08333,14.7376,14.752,15.334,20.5205,27.4198
30,20,20.6667,21,Inf,Inf,10,24.8198,24.9868,25.6703,33.8825,44.3158
