Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,10.3833,10.69,10.9036,Inf,Inf,5.19167,11.7743,11.7478,11.9479,14.6524,20.945
1,12.5,12.5,12.5,Inf,Inf,6.25,12.7384,12.7256,12.7166,17.0338,24.0876
2,9.5,9.5,9.5,10.2975,1685.87,4.75,10.4454,10.4395,10.6471,13.4615,19.888
3,12.5,12.5,12.5,12.8667,96.3996,6.25,13.0096,13.4986,13.5666,17.8536,23.0684
4,11.6667,12.3333,12.7167,Inf,Inf,5.83333,13.1372,13.0214,13.0746,17.3351,24.214
5,11,11,11,11,349.47,5.5,11.0046,11.0084,11.1944,13.7638,19.5006
6,9.5,9.9,9.9,Inf,Inf,4.75,10.6865,10.4519,10.5075,13.2106,18.3634
7,12.5,13.1667,13.5,Inf,Inf,6.25,14.0014,14.0034,14.6318,16.7518,26.0902
8,9,9.66667,10.6667,Inf,Inf,4.5,12.3713,12.0342,12.3241,15.8186,22.3762
9,8,8.25,8.5,Inf,Inf,4,11.344,11.331,11.4701,12.9846,19.0606
10,9.5,9.5,9.5,9.61905,349.768,4.75,9.8304,9.748,9.767,13.5122,15.8712
11,9.5,9.83333,10.0333,10.6314,1361.55,4.75,10.8382,10.6882,10.755,11.8854,19.3154
12,7.5,8,8.5,Inf,Inf,3.75,10.5046,10.5066,11.2318,12.8021,19.6652
13,13.5,13.5,13.5,Inf,Inf,6.75,16.9715,16.9825,17.5569,22.4213,32.3168
14,13,13.6667,14,Inf,Inf,6.5,14.4842,14.4781,15.0092,17.5829,27.073
15,7.5,8,8.33333,8.5,5.43149,3.75,8.5,8.5,8.5,10.6991,15.2172
16,13,14,14,14.1375,3.09529,6.5,14.2635,14.2427,14.2496,16.9074,24.5014
17,11,11.6667,12.0333,Inf,Inf,5.5,12.939,13.0222,13.8899,16.1314,25.5062
18,10,10,10,10.2277,207.144,5,10.4148,10.4976,10.4922,13.7228,20.2218
19,10,10,10,10.1197,3208.03,5,10.0096,9.9944,10.004,11.808,17.0084
20,12.5,12.5,12.5,Inf,Inf,6.25,14.6182,14.1545,14.6688,18.8817,27.3282
21,9,9,9,8.95833,2.54129,4.5,8.999,8.9996,9.0162,12.8716,14.5436
22,10.5,11.5,12.5,Inf,Inf,5.25,14.5036,14.732,14.899,17.0902,24.271
23,9.5,9.75,10.0417,Inf,Inf,4.75,11.4552,11.476,11.484,15.1387,20.3434
24,6,6.33333,6.66667,6.73143,1.19589,3,6.9924,6.9988,7.0288,7.7656,11.9186
25,8,8.8,9.38333,Inf,Inf,4,10.6603,10.475,11.151,11.4096,17.0544
26,10.6667,10.6667,10.6667,10.6068,2745.08,5.33333,10.6798,10.697,10.6762,12.8087,17.7754
27,9,9.5,10,9.75,0.520333,4.5,9.9906,10.006,9.9796,10.994,16.4218
28,13,13,13,13.0446,2080.82,6.5,13.3846,13.2383,13.2485,17.4375,24.0714
29,9,9,9,9.90167,114.667,4.5,10.1306,10.2724,10.254,11.3241,16.8844
30,13.6667,13.6667,13.6667,Inf,Inf,6.83333,14.321,14.2108,14.4418,18.1633,24.3914
