Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,13.15,13.8367,14.1847,Inf,Inf,6.575,15.9115,15.9588,16.8213,20.1592,27.3531
1,14,14,14,14.5,1249.56,7,14.9928,14.506,14.532,21.6282,23.827
2,13.1667,13.1667,13.1667,Inf,Inf,6.58333,14.8825,16.3416,18.1262,21.9291,26.6304
3,13,13,13,13.6126,726.67,6.5,14.0506,14.0001,14.7681,17.959,23.8586
4,12.5,13.1667,13.6667,Inf,Inf,6.25,14.9325,14.7408,15.0441,19.9724,25.106
5,14,14,14,Inf,Inf,7,15.6714,15.5017,15.6275,20.0321,27.9226
6,13.5,14,14.5833,Inf,Inf,6.75,16.5133,16.3285,17.0582,20.3844,28.9516
7,11.5,12.3333,12.9,Inf,Inf,5.75,15.5268,15.4323,16.0727,17.1853,24.4908
8,14,15.6,16.55,Inf,Inf,7,19.2671,19.6568,21.3082,23.7053,33.0572
9,15.1667,16.1667,16.4167,Inf,Inf,7.58333,17.3324,17.478,17.7787,21.7759,29.0204
10,12,13.25,13.6667,Inf,Inf,6,14.9994,15.1073,15.8127,21.0051,27.315
11,12,13,13.4,Inf,Inf,6,14.9966,14.8402,16.0301,19.5571,26.0578
12,15,15.75,16.25,Inf,Inf,7.5,18.6274,18.84,21.1862,23.5512,32.0222
13,10,11,12,Inf,Inf,5,14.936,14.9681,16.6514,18.6905,26.128
14,14.5,15.1667,15.8333,Inf,Inf,7.25,18.409,18.64,19.1292,24.7979,31.5048
15,14,14.8333,15.2667,Inf,Inf,7,16.5264,16.5912,17.7547,20.8894,28.577
16,8.16667,8.41667,8.66667,9.16667,2.34871,4.08333,9.18087,9.15607,9.14247,11.7225,14.9754
17,12,13,13.4167,Inf,Inf,6,14.0875,14.1145,14.9795,15.8939,23.7068
18,12.5,12.75,13.0417,Inf,Inf,6.25,14.482,14.3894,14.7611,18.8413,23.8072
19,13,13,13,Inf,Inf,6.5,15.9838,16.0014,16.2165,20.9241,28.6858
20,15,17,17.7,Inf,Inf,7.5,21.0581,21.847,24.4949,26.8869,38.8344
21,13.5,15,15,Inf,Inf,6.75,16.773,16.0346,17.036,18.6097,29.6096
22,12.5,12.5,12.5,13.1083,599.912,6.25,13.159,13.1258,13.1734,17.0534,20.6666
23,13.5,13.5,13.5,Inf,Inf,6.75,15.5772,15.7916,16.0168,18.5198,25.6822
24,17.5,18.5,18.85,Inf,Inf,8.75,20.7774,21.1488,22.7772,26.7441,37.0668
25,11.5,12.75,13.8333,Inf,Inf,5.75,16.0951,16.0412,19.0258,19.0751,27.9878
26,12,12,12,Inf,Inf,6,14.4078,14.015,14.0969,17.2913,24.1652
27,16.5,17,17,Inf,Inf,8.25,18.6745,18.7096,18.8697,22.8263,32.8974
28,15,15.75,16,Inf,Inf,7.5,17.697,17.7146,18.1834,22.7636,30.0582
29,10,10.75,11.1667,11.5451,579.254,5,11.6866,11.586,12.476,14.0642,18.3178
30,13.5,14.75,15.1667,Inf,Inf,6.75,16.0416,16.117,16.5088,20.4966,29.6626
