Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,4.60556,4.62444,4.62889,4.71309,1.25756,2.30278,4.74452,4.7441,4.74783,5.24866,7.39799
1,2.16667,2.16667,2.16667,2.25581,0.410885,1.08333,2.1718,2.1698,2.1692,2.5124,2.5392
2,3.5,3.5,3.5,3.50927,0.476621,1.75,3.6661,3.6696,3.6646,4.3378,5.9664
3,6,6,6,6.11111,4.93664,3,6.2344,6.2266,6.2617,8.1295,9.9162
4,5,5,5,4.81333,1.20731,2.5,5.0138,5.006,4.9976,6.0101,8.867
5,4,4,4,4,0.065152,2,4,4,4,4.2544,7.7298
6,5,5.4,5.5,5.6291,5.9893,2.5,5.6906,5.7058,5.7397,6.8602,9.3024
7,5,5,5,5,0.036251,2.5,4.9888,5.01,5.0068,5.0014,6.6266
8,3.66667,3.66667,3.66667,3.67647,0.30256,1.83333,3.6562,3.666,3.6454,3.6906,5.1592
9,1.5,1.5,1.5,1.5,0.087654,0.75,1.4924,1.4944,1.51,1.5098,3.113
10,5,5,5,5.08108,0.312988,2.5,5.0028,5.0006,5.0088,5.5605,8.4456
11,5,5,5,5.53509,0.12406,2.5,5.5022,5.5004,5.5074,5.761,8.6758
12,6,6,6,6.11902,1.17184,3,6.1184,6.096,6.0918,7.2073,9.8628
13,3,3,3,3,0.078362,1.5,3,3,3,3,3.8762
14,4.5,4.5,4.5,4.75,0.309351,2.25,4.7396,4.7573,4.7571,4.9598,7.0054
15,5.5,5.5,5.5,5.51471,0.114979,2.75,5.6694,5.6614,5.6622,6.7668,8.9368
16,6.5,6.5,6.5,6,0.03692,3.25,6.4966,6.4968,6.5066,6.518,12.1204
17,5.16667,5.16667,5.16667,5.20779,2.78605,2.58333,5.1546,5.165,5.1598,5.9318,7.2588
18,8,8,8,8,0.194068,4,8.372,8.4992,8.49,9.264,14.559
19,4.5,4.5,4.5,4.67778,0.389988,2.25,4.4814,4.484,4.4914,4.733,6.3994
20,6.16667,6.16667,6.16667,6.43137,1.00745,3.08333,6.4308,6.4293,6.4238,6.9467,10.0836
21,3,3,3,3,0.107206,1.5,3,3,3,3,4.272
22,4,4,4,4.16667,0.107145,2,4.1943,4.1778,4.1626,4.3402,5.4632
23,6.5,6.5,6.5,6.67647,0.594388,3.25,6.6618,6.6571,6.6826,7.2363,11.3202
24,3,3,3,3.03333,0.129838,1.5,2.9798,2.9936,3.0024,2.9974,3.8358
25,4,4,4,4.11881,0.517965,2,3.9862,3.9828,3.9968,4.0748,5.7034
26,4.5,4.5,4.5,4.78158,0.813671,2.25,5.0217,4.8351,4.8312,5.623,7.016
27,6.5,6.5,6.5,6.55556,6.25974,3.25,6.5078,6.4974,6.5008,7.1556,9.9144
28,3,3,3,3.0396,1.22303,1.5,3.001,3.004,2.9926,3.3312,3.763
29,7,7.16667,7.2,7.56582,7.80602,3.5,7.6198,7.6357,7.6631,9.2417,12.0996
30,1.5,1.5,1.5,1.64286,0.129519,0.75,1.4812,1.5012,1.5088,1.5046,2.1086
