Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,2.76111,2.78778,2.79444,2.84809,0.129733,1.38056,2.83675,2.83675,2.83482,2.94518,4.05635
1,1.5,1.5,1.5,1.66667,0.05812,0.75,1.6599,1.6698,1.6647,1.6658,2.4034
2,1.5,1.5,1.5,1.66667,0.032006,0.75,1.6659,1.6787,1.6621,1.8358,2.671
3,2.5,2.5,2.5,2.52,0.283647,1.25,2.516,2.4934,2.4966,2.8198,4.0246
4,2.5,2.5,2.5,2.75,0.145128,1.25,2.7833,2.7391,2.7498,3.0382,4.2612
5,4.5,4.5,4.5,4.5,0.093916,2.25,4.4922,4.5018,4.5006,4.5038,6.1252
6,3,3.6,3.75,3.84615,0.039398,1.5,3.7522,3.7572,3.7472,3.755,6.4844
7,2.5,2.5,2.5,2.64,0.087315,1.25,2.4998,2.5084,2.506,2.492,3.217
8,3,3,3,3,0.091659,1.5,3.0134,3.0002,3.023,3.4378,4.393
9,2.5,2.5,2.5,2.63,0.098346,1.25,2.6234,2.6221,2.6126,2.9081,3.9298
10,3,3,3,3,0.050854,1.5,3.001,3.0022,3.003,3.006,4.3514
11,3.5,3.5,3.5,3.66667,0.077128,1.75,3.6624,3.6737,3.6607,3.7229,5.2586
12,1,1,1,0.95815,0.448594,0.5,0.991,0.9842,1.0054,1.0056,1.166
13,4,4,4,4,0.133314,2,4,4,4,4.0817,5.9906
14,3.5,3.5,3.5,3.61494,0.194957,1.75,3.4974,3.502,3.506,3.7966,4.2462
15,3,3,3,3,0.096941,1.5,3.0046,3.002,3.0064,3.0514,3.5502
16,1.5,1.5,1.5,1.46035,0.343123,0.75,1.5146,1.5066,1.503,1.5042,1.6848
17,2.5,2.5,2.5,2.61,0.100378,1.25,2.6292,2.6218,2.6263,3.0126,3.9434
18,3.5,3.5,3.5,3.54167,0.143782,1.75,3.5335,3.5383,3.531,3.5828,5.8488
19,3,3,3,3,0.059552,1.5,3.0024,3.0126,2.993,3.0788,3.8804
20,2.16667,2.16667,2.16667,2.16667,0.01878,1.08333,2.1676,2.1588,2.1588,2.1576,2.341
21,2.5,2.5,2.5,2.5,0.054112,1.25,2.5046,2.5186,2.497,2.4996,3.4858
22,3,3,3,3.2,0.212182,1.5,3.2014,3.2,3.2065,3.5012,4.7144
23,2.66667,2.66667,2.66667,2.58411,0.357236,1.33333,2.6592,2.6624,2.6552,2.7051,3.3056
24,3.5,3.5,3.5,3.47619,0.20559,1.75,3.4902,3.4848,3.5034,3.6565,5.3292
25,1.5,1.5,1.5,1.5,0.049113,0.75,1.4902,1.4984,1.504,1.664,2.066
26,3.5,3.5,3.5,3.61538,0.024865,1.75,3.4956,3.5072,3.492,3.5058,5.873
27,2,2,2,2,0.037237,1,1.9976,2.0002,1.9952,2.0044,2.4136
28,3.5,3.5,3.5,3.5,0.077313,1.75,3.5,3.5,3.5,3.5,5.1312
29,4,4,4,4.07895,0.140384,2,4.006,3.9932,4.0058,4.0016,5.7992
30,2.5,2.7,2.75,2.75,0.137008,1.25,2.748,2.7648,2.7292,2.8608,3.8016
