Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,2.77778,2.87389,2.90083,3.0663,0.293659,1.38889,3.07986,3.07864,3.09499,3.35735,4.17895
1,1.5,1.5,1.5,1.47525,0.216276,0.75,1.5046,1.5104,1.4964,1.5554,1.743
2,3,3,3,3.0375,1.08667,1.5,3.0231,3.0153,3.0386,3.2144,4.3248
3,2,2,2,2.10546,0.824137,1,2.1216,2.1079,2.1258,2.4684,2.9744
4,2.5,2.5,2.5,2.5,0.040713,1.25,2.4914,2.4882,2.4998,2.6588,2.9608
5,3,3,3,3,0.057726,1.5,2.9974,3.0072,3.168,3.5412,4.187
6,2,2,2,2.25,0.315376,1,2.2595,2.2486,2.2747,2.2707,2.8946
7,3.5,3.7,3.8,4.30417,0.649263,1.75,4.33453,4.32423,4.32457,4.3302,6.4112
8,2.5,2.5,2.5,2.77027,0.130854,1.25,2.7326,2.7465,2.7527,3.054,4.2386
9,3.66667,4.41667,4.5,4.52083,0.150149,1.83333,4.5173,4.5187,4.619,4.717,6.063
10,4.16667,4.33333,4.40833,4.52871,0.635589,2.08333,4.57,4.5843,4.6102,5.1448,6.2776
11,3.66667,3.66667,3.66667,3.97386,0.445799,1.83333,4.1022,3.9822,4.0378,4.3,5.326
12,2.5,2.5,2.5,2.5,0.252868,1.25,2.4942,2.4932,2.5222,2.6658,3.2354
13,2,2,2,2.16667,0.04413,1,2.1629,2.1811,2.1929,2.4794,2.7464
14,4,4,4,4.39583,0.143485,2,4.3982,4.3917,4.3968,4.8732,5.943
15,3.16667,3.16667,3.16667,3.38889,0.046393,1.58333,3.38767,3.39207,3.38667,3.61947,4.0836
16,3.5,3.5,3.5,3.58772,0.094023,1.75,3.7494,3.7448,3.7532,3.9656,5.2424
17,1.5,2,2.16667,2.33333,0.073735,0.75,2.3329,2.3337,2.3348,2.4998,3.2434
18,2,2,2,2.1005,1.0708,1,2.1418,2.1276,2.133,2.4662,2.9192
19,2.5,2.5,2.5,2.66667,0.037942,1.25,2.6698,2.6581,2.6662,2.8243,3.6366
20,2.5,2.5,2.5,2.5,0.047534,1.25,2.4882,2.5062,2.5068,3.2338,3.0864
21,2.16667,2.16667,2.16667,2.16667,0.269533,1.08333,2.167,2.1772,2.1642,2.5178,2.5232
22,2,2,2,2,0.039993,1,1.9924,2.0044,2.011,2.0004,2.7718
23,3.5,4,4.16667,4.375,0.108305,1.75,4.4816,4.5108,4.4251,4.4481,6.2724
24,4,4,4,4.22222,0.076202,2,4.2134,4.223,4.284,5.1466,5.7482
25,1.5,1.5,1.5,1.5,0.038319,0.75,1.5036,1.5098,1.4982,1.6238,2.183
26,2,2,2,2.29167,0.14749,1,2.29163,2.30293,2.3003,2.4882,3.24
27,3.5,3.5,3.5,3.5,0.019759,1.75,3.5,3.5,3.5,3.998,4.3812
28,3,3.16667,3.23333,3.44286,0.898354,1.5,3.3811,3.3934,3.4121,3.9644,4.8186
29,4.5,5.1,5.25,5.60417,0.634996,2.25,5.6074,5.5986,5.6509,5.8553,7.926
30,2,2,2,2.78078,0.213353,1,2.7784,2.777,2.7638,2.7954,3.9666
