Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,5.55556,5.58056,5.58611,5.6853,1.46614,2.77778,5.7356,5.70161,5.70491,6.3257,9.07378
1,5,5,5,5.21154,0.513554,2.5,5.3102,5.2065,5.1986,5.1986,7.8778
2,4,4,4,4,0.308975,2,3.9934,4.0034,3.999,4.3328,7.6846
3,6.16667,6.16667,6.16667,6.29167,0.262074,3.08333,6.29877,6.29037,6.29567,7.46727,9.6632
4,6.66667,6.66667,6.66667,6.58854,0.669171,3.33333,6.65987,6.66527,6.67167,7.51707,10.4032
5,5,5,5,5.07143,0.470575,2.5,5.0134,4.9842,4.9912,5.1254,7.3368
6,6.5,6.5,6.5,6.5,0.244865,3.25,6.4932,6.4992,6.5082,7.394,10.648
7,6,6.25,6.33333,6.7662,5.51751,3,6.833,6.8441,6.8553,7.6239,11.1182
8,4.5,4.5,4.5,4.5,0.27131,2.25,4.5044,4.508,4.506,4.5397,7.8752
9,6.16667,6.16667,6.16667,6.16279,5.68662,3.08333,6.1608,6.1602,6.1666,6.7468,9.235
10,7,7,7,6.84615,1.58211,3.5,6.992,7.0176,7.0008,7.4819,11.3874
11,4,4,4,4.43953,2.60894,2,4.8127,4.52847,4.52963,4.911,7.2898
12,6,6,6,6,0.352187,3,6.0116,5.9952,5.9934,6.0054,7.8708
13,3.66667,3.66667,3.66667,3.71097,0.453196,1.83333,3.66887,3.67307,3.67067,3.69267,4.7916
14,7,7,7,7.07143,6.94196,3.5,7.0058,6.9954,6.993,9.4246,12.67
15,7,7,7,7.33333,0.162689,3.5,7.3337,7.3276,7.335,7.3514,12.6848
16,5.5,5.5,5.5,5.27273,0.157617,2.75,5.5106,5.507,5.5004,5.5342,7.669
17,6.5,6.5,6.5,6.375,0.345341,3.25,6.4958,6.5004,6.4884,6.926,11.3798
18,4.5,4.5,4.5,4.5,0.153026,2.25,4.5,4.5,4.5,5.435,8.0738
19,7.5,7.5,7.5,7.33333,5.31226,3.75,7.5016,7.4946,7.5134,9.1207,11.7156
20,5,5,5,5.08333,0.249048,2.5,5.1696,5.0789,5.0842,6.2233,8.8206
21,3.5,3.5,3.5,3.75,0.704236,1.75,4.0054,3.7408,3.7456,4.3759,5.7622
22,6,6,6,6.75,0.37902,3,7,6.7479,6.7717,7.1264,11.3424
23,5.5,5.5,5.5,5.97619,0.66747,2.75,5.498,5.4978,5.5036,6.0722,7.3388
24,4.5,4.5,4.5,4.55263,0.312566,2.25,4.5288,4.5316,4.5257,4.6838,7.5148
25,5,5.25,5.25,5.41667,0.755815,2.5,5.5866,5.4124,5.4162,6.529,8.6248
26,4.5,4.75,4.83333,5.16667,1.06872,2.25,5.1646,5.3276,5.3479,6.0706,8.0146
27,5.5,5.5,5.5,5.38889,5.74,2.75,5.5128,5.5104,5.5414,6.2826,8.12
28,5.5,5.5,5.5,5.5,0.240853,2.75,5.5026,5.5004,5.494,5.9494,8.396
29,7,7,7,7,1.31031,3.5,7,7,7,7.9918,11.7544
30,6,6,6,6,0.54224,3,6,6,6,6.6375,9.1502
