Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,7.58333,7.85556,7.99389,Inf,Inf,3.79167,8.38138,8.41965,8.50301,9.82178,13.2049
1,7.5,7.75,7.83333,9.1004,1228.74,3.75,9.4005,9.6477,9.772,11.3653,15.184
2,7.16667,7.16667,7.16667,7.88889,0.963188,3.58333,7.81967,8.1648,8.1428,8.5043,12.0436
3,5.16667,5.16667,5.16667,5.16667,0.233905,2.58333,5.14907,5.15387,5.16767,5.92527,6.1002
4,7,7.2,7.3,7.23974,32.2895,3.5,7.3396,7.342,7.3238,9.1024,12.3726
5,8.5,8.5,8.5,8.58333,41.7979,4.25,8.6042,8.6182,8.6154,10.3022,15.7004
6,8.5,8.75,8.91667,8.9375,21.3714,4.25,9.0018,9.0152,8.9812,10.3285,14.2756
7,9.16667,9.16667,9.16667,9.48003,49.7326,4.58333,9.492,9.5192,9.4926,10.514,15.655
8,9,9.33333,9.5,10.0952,62.1524,4.5,10.5521,10.5824,10.6438,12.4674,16.6614
9,8.5,8.5,8.5,8.5,1.98398,4.25,8.4996,8.5012,8.5111,9.8308,12.847
10,7,7,7,6.98246,5.61003,3.5,6.9996,7.0074,7.2541,9.7932,11.7074
11,6.5,6.5,6.5,6.43333,2.32884,3.25,6.4938,6.4942,6.4978,8.1864,10.7598
12,7.5,7.5,7.5,7.75,2.42648,3.75,7.9866,7.9938,7.9904,8.5156,12.11
13,8.5,9.5,10.5,Inf,Inf,4.25,11.318,11.3334,11.3084,12.1376,16.889
14,6.16667,6.5,6.66667,6.65741,81.0826,3.08333,6.6684,6.69,6.6846,7.7402,10.0968
15,9.5,9.5,9.5,9.5,3.32806,4.75,9.506,9.4904,9.7532,12.3018,14.4946
16,8,9,9.4,9.81667,123.703,4,9.9813,9.9698,10.1936,11.9231,16.5794
17,4.16667,4.16667,4.16667,4.41667,12.3587,2.08333,4.4009,4.4041,4.417,4.7956,5.938
18,7.5,7.75,7.91667,8.53049,7.05408,3.75,8.5816,8.6528,8.6344,9.2574,14.6196
19,11,11.6,11.8,12.0255,142.713,5.5,12.174,12.0632,12.1429,14.1486,18.15
20,4,4,4,4.03333,0.957709,2,4.0178,4.027,4.0367,4.283,6.756
21,7.66667,7.66667,7.66667,7.66667,5.71206,3.83333,7.6674,7.6806,7.663,8.996,10.0128
22,5.5,5.5,5.5,6.45833,8.76918,2.75,6.50247,6.46917,6.45827,8.154,11.0214
23,6.83333,7.03333,7.2,7.30633,53.0712,3.41667,7.3288,7.3496,7.343,9.0418,10.689
24,9.5,10.8333,11.1667,Inf,Inf,4.75,11.8756,12.1506,13.7501,12.9142,19.6944
25,7,7.2,7.35,8.30833,5.07163,3.5,8.56507,8.69857,8.68193,10.4027,14.1576
26,9.5,10.25,10.5,10.8333,457.657,4.75,10.8551,10.8353,10.8316,13.8988,17.7876
27,5.5,5.5,5.5,5.54167,2.64586,2.75,5.5064,5.4846,5.5144,6.294,8.2582
28,6.66667,7,7.33333,7.80107,33.0008,3.33333,7.9284,7.9281,7.9476,8.3407,12.1996
29,10,10.8,11.1,11.2236,6.78017,5,11.3258,11.3096,11.3244,13.2936,18.639
30,9,9.33333,9.5,9.83333,8.22654,4.5,9.8998,10.0128,10.0126,11.895,14.7478
