Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,6.26667,6.55833,6.76667,Inf,Inf,3.13333,7.35791,7.34707,7.51659,8.66009,11.4585
1,8,8,8,9.05937,2.95924,4,9.1052,9.2152,9.2184,11.2129,14.6612
2,5,5,5,5.08333,0.473107,2.5,5.1746,5.1802,5.1644,7.033,8.1352
3,7,7,7,7.99938,3.1266,3.5,8.2464,8.0842,8.4868,11.482,13.1706
4,6.5,6.5,6.5,6.5,2.44862,3.25,6.4972,6.502,6.562,8.179,9.3358
5,5,6,7,7,653.68,2.5,7.1236,7,7.6723,8.5368,11.7886
6,6,6.25,6.5,8,0.764225,3,8.0044,8.0036,7.984,8.3741,11.6174
7,3,3,3,4,0.077202,1.5,4.0096,4.0032,4.0058,4.4968,5.927
8,7.5,8.16667,8.5,8.72222,7.29535,3.75,8.7515,8.7519,9.6594,10.31,14.4718
9,6,6.33333,6.53333,6.92998,26.907,3,6.8875,6.8938,7.0725,8.081,10.9756
10,7.16667,7.5,7.83333,8.91667,20.8666,3.58333,9.0461,9.167,9.1776,10.2445,13.7332
11,5,5,5,6.25,0.823902,2.5,6.2575,6.2554,6.232,6.7987,9.6808
12,6,6.6,6.9,7.16667,8.30848,3,7.1715,7.1716,7.1975,8.2522,10.8942
13,6.5,6.5,6.5,6.49504,4.38189,3.25,6.5028,6.482,6.489,7.6343,9.949
14,8,8.2,8.35,9.42917,400.67,4,9.5386,9.52233,9.722,10.975,14.628
15,4.5,5,5.16667,5.71111,14.7775,2.25,5.9164,5.7102,5.7425,6.4422,8.778
16,7.5,7.9,8.16667,8.75675,227.042,3.75,8.8536,8.83667,9.02097,9.96,14.0856
17,3,3,3,3.5,0.514169,1.5,3.49,3.4732,3.5002,3.6441,5.327
18,4.5,4.5,4.5,4.75,0.392947,2.25,5.0044,4.9976,5.1668,6.9914,8.5166
19,7.5,8.1,8.25,Inf,Inf,3.75,9.1834,9.4527,10.0244,10.7117,14.4172
20,6.66667,7,7.5,7.48374,3.37096,3.33333,7.667,7.6822,7.7286,7.9838,10.391
21,8,8.5,8.83333,9.32004,94.9773,4,9.7402,9.5521,9.7237,11.3574,15.4494
22,6,6,6,6.33333,0.980586,3,6.34633,6.32727,6.34347,7.7684,10.183
23,7.5,7.5,7.5,8.0747,15.0361,3.75,8.2869,8.2062,8.2276,9.8432,12.6382
24,6,7,8,8.83333,46.7783,3,8.8363,8.8536,10.1992,10.8706,14.099
25,7,7.66667,8,8.55208,23.1794,3.5,8.54263,8.5713,8.5714,9.3127,12.8636
26,9,9,9,9.08333,4.00552,4.5,9.1122,9.0961,9.0864,11.1017,13.9862
27,5.5,5.5,5.5,5.5,1.0101,2.75,5.4926,5.4854,5.498,6.3418,9.5146
28,6.66667,6.86667,6.96667,6.89286,1.58299,3.33333,6.9922,7.0008,6.9604,7.9168,11.2046
29,3,3.5,4,4,3.86311,1.5,4.183,4.1774,3.9838,4.6366,6.1758
30,9,9.66667,10,10.5546,69.5435,4.5,10.7736,10.7568,11.0766,13.31,17.1574
