Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,2.3,2.30556,2.30667,2.3111,0.0791646,1.15,2.31391,2.31513,2.31875,2.37448,3.19134
1,2.5,2.5,2.5,2.5,0.056903,1.25,2.5,2.5,2.5,2.5,3.8584
2,2,2,2,1.98515,0.144242,1,2.0066,2.015,2.003,2.0038,2.7746
3,3,3,3,3,0.042902,1.5,3.0048,3.0042,3,3.0004,3.706
4,3,3,3,3,0.054187,1.5,2.9958,3.0016,2.991,2.992,4.0388
5,3.16667,3.16667,3.16667,3.16667,0.128233,1.58333,3.1606,3.1736,3.1958,3.286,4.2334
6,3,3,3,3,0.036486,1.5,3,3,3,3.4956,5.0712
7,0.5,0.5,0.5,0.488987,0.142324,0.25,0.4914,0.4936,0.4894,0.515,0.5978
8,1.5,1.5,1.5,1.5,0.036767,0.75,1.5,1.5,1.5,1.5,2.008
9,1.5,1.5,1.5,1.5,0.046924,0.75,1.4988,1.5044,1.4964,1.4976,1.8598
10,1.5,1.5,1.5,1.5,0.053562,0.75,1.5,1.5,1.5,1.5,2.1618
11,1.5,1.5,1.5,1.47143,0.267992,0.75,1.496,1.5054,1.5006,1.6725,2.113
12,2,2,2,2,0.030056,1,2,2,2,2,2.9112
13,3.5,3.5,3.5,3.5,0.03104,1.75,3.5,3.5,3.5,3.5,4.6684
14,4,4,4,4,0.086355,2,3.9998,3.9992,4.0016,4.0034,5.7756
15,3.5,3.5,3.5,3.52381,0.147265,1.75,3.6242,3.6222,3.6386,3.6193,5.2782
16,3.5,3.5,3.5,3.5,0.024843,1.75,3.4976,3.4918,3.5064,3.505,4.8764
17,2.16667,2.16667,2.16667,2.16667,0.116804,1.08333,2.159,2.186,2.179,2.1612,2.5206
18,3,3,3,3,0.022444,1.5,2.998,2.9988,2.9872,3.117,3.8266
19,1.5,1.66667,1.7,1.73571,0.232903,0.75,1.7106,1.7252,1.8173,1.875,2.8104
20,1.5,1.5,1.5,1.5,0.034936,0.75,1.5,1.5,1.5,1.5,1.936
21,4,4,4,4,0.042801,2,4,4,4,4,5.4696
22,0.5,0.5,0.5,0.488987,0.153995,0.25,0.5156,0.4914,0.5094,0.5016,0.5948
23,3,3,3,3,0.004242,1.5,3,3,3,3,3.7824
24,3,3,3,3.04286,0.084426,1.5,2.9868,2.988,3.0044,3.005,3.7696
25,1,1,1,1.09615,0.049661,0.5,1.0966,1.0992,1.0956,1.3352,1.6486
26,1,1,1,1,0.016975,0.5,1,1,1,1,1.4834
27,3,3,3,3,0.082637,1.5,2.9916,3.0006,2.9952,3.4954,4.0842
28,1.66667,1.66667,1.66667,1.66667,0.122277,0.833333,1.678,1.6528,1.6568,1.6564,1.8508
29,2.5,2.5,2.5,2.5,0.017936,1.25,2.5,2.5,2.5,2.5,4.1044
30,1.5,1.5,1.5,1.5,0.062821,0.75,1.5054,1.5008,1.4948,1.497,1.9262
