Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,3.95,4.00722,4.02333,4.13822,0.707204,1.975,4.1658,4.14932,4.15356,4.5612,6.10533
1,3.16667,3.16667,3.16667,3.18293,2.27156,1.58333,3.1682,3.1762,3.1378,3.3974,4.1134
2,1.5,1.5,1.5,1.5,0.026043,0.75,1.496,1.4946,1.504,1.9888,2.1482
3,2.5,2.5,2.5,2.5,0.170353,1.25,2.5,2.5,2.5,2.5,4.2494
4,4.5,4.5,4.5,4.96369,1.97445,2.25,5.17367,4.95143,5.034,5.3284,7.3978
5,3.16667,3.16667,3.16667,3.16667,0.043059,1.58333,3.16507,3.16927,3.17307,3.42267,3.8982
6,3.5,3.5,3.5,3.5303,1.22043,1.75,3.492,3.5112,3.4738,3.5174,4.7614
7,5,5,5,5.0495,0.355727,2.5,5.0429,5.044,5.0397,5.0814,8.3826
8,3.5,3.5,3.5,3.40541,0.23067,1.75,3.4906,3.4918,3.4932,3.9856,4.6364
9,2.5,2.5,2.5,2.5,0.123826,1.25,2.5038,2.5014,2.5002,2.5026,4.206
10,4,4.16667,4.23333,4.22333,0.730344,2,4.246,4.2476,4.2168,4.4324,5.477
11,4.5,5,5.13333,5.24834,2.0087,2.25,5.3085,5.3004,5.3654,6.0132,8.0218
12,4,4,4,4.34818,0.604913,2,4.34843,4.35387,4.34577,5.2026,7.2414
13,3,3,3,2.98571,0.423409,1.5,2.9912,2.994,2.9782,3.2026,4.9444
14,4.5,4.7,4.8,4.89965,1.27602,2.25,5.085,5.0102,4.998,5.209,7.2
15,4.5,4.5,4.5,5,0.079225,2.25,5,5.07827,5.08427,5.7144,7.5218
16,4.66667,4.66667,4.66667,4.69167,0.554591,2.33333,4.68987,4.69227,4.69487,4.91447,6.3428
17,5.5,5.5,5.5,5.66667,1.0263,2.75,5.834,5.6813,5.7413,6.6675,8.0296
18,4,4,4,4,0.539172,2,4.006,3.9996,4.0036,4.2338,5.5616
19,5,5.6,5.7,5.83663,0.848094,2.5,5.9488,5.9186,5.9198,6.4717,9.5706
20,6,6,6,6,0.046525,3,6.0144,5.9966,6.0054,6.4886,8.9268
21,6.5,6.5,6.5,6.70833,0.327414,3.25,6.7123,6.7101,6.6917,7.7463,9.7798
22,4,4,4,4.24229,1.70518,2,4.1678,4.1678,4.1693,4.569,6.492
23,5.5,5.5,5.5,5.5,0.250695,2.75,5.5,5.5,5.5,6.9621,8.8844
24,3.5,3.75,3.83333,3.91667,0.311969,1.75,4.001,3.909,3.928,4.0825,5.3226
25,3.5,3.5,3.5,3.70192,0.245086,1.75,3.7566,3.7601,3.7552,4.628,5.9996
26,2.5,2.5,2.5,3.33333,0.118995,1.25,3.3244,3.33433,3.3344,3.4954,4.851
27,4,4,4,4,0.312198,2,3.9958,3.995,3.9938,4.2472,5.7852
28,2.5,2.5,2.5,2.45961,2.559,1.25,2.5108,2.4854,2.5012,2.8544,3.2554
29,2.5,2.5,2.5,2.5,0.05608,1.25,2.5016,2.502,2.4956,2.5062,3.6032
30,5,5,5,5.08586,0.776089,2.5,4.9994,5.0032,5.0284,5.4704,6.5554
