Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,4.85,4.98389,5.01611,5.14182,1.48557,2.425,5.17061,5.19908,5.20471,5.66926,7.77452
1,5.5,5.9,6.1,6.43452,6.59501,2.75,6.4972,6.661,6.6776,7.0136,10.3488
2,6,6.66667,6.66667,6.88889,0.408209,3,6.88067,6.987,7.1844,7.5153,11.3498
3,4.66667,4.66667,4.66667,4.91667,0.181162,2.33333,4.91647,4.90827,4.90187,4.90747,6.7188
4,4,4.33333,4.33333,4.41667,4.25043,2,4.4251,4.4094,4.4034,4.3997,7.438
5,3.5,3.5,3.5,3.5,0.105902,1.75,3.5046,3.4954,3.4986,3.4966,5.1222
6,7.5,7.5,7.5,7.57828,4.82829,3.75,7.6991,7.6974,7.7052,8.3674,11.0808
7,5,5,5,5.00821,1.25796,2.5,5.0052,4.9912,5.015,5.4616,6.0624
8,5,5,5,4.88739,0.495206,2.5,4.992,4.9932,4.9948,6.0156,8.8022
9,5,5.5,5.5,5.5,0.220639,2.5,5.498,5.5116,5.4914,5.4964,7.8596
10,6,6,6,5.92458,2.32233,3,6.0056,5.9858,6.0018,6.5145,9.4444
11,6,6,6,6.71978,0.761655,3,6.8748,7.1931,7.2566,8.1428,11.0394
12,4,4.25,4.41667,4.5,0.289365,2,4.5844,4.5734,4.486,5.3658,7.6086
13,3,3,3,3,1.61164,1.5,3.005,2.9992,2.991,3.7503,5.207
14,6.5,6.5,6.5,6.8314,2.20713,3.25,6.8412,6.8338,6.8248,7.0524,9.3558
15,3.16667,3.16667,3.16667,3.16667,5.58527,1.58333,3.165,3.1836,3.143,3.1716,3.493
16,5,5,5,5.625,0.850704,2.5,5.7232,5.8323,5.8375,7.1046,9.4366
17,4.5,4.5,4.5,4.5,0.105717,2.25,4.5,4.5,4.5,5.1654,7.2124
18,2,2,2,2,0.073145,1,1.9964,2.001,1.9896,2.0126,2.274
19,4.5,4.5,4.5,4.5,0.164485,2.25,4.4908,4.4934,4.4968,4.9994,6.6696
20,5,5.5,5.83333,6.25,1.67018,2.5,6.2523,6.2487,6.2482,6.4742,8.5768
21,2,2,2,2,0.167688,1,1.996,1.9944,2.002,1.9998,2.2186
22,5,5.5,5.5,5.4359,0.81515,2.5,5.5016,5.5054,5.506,6.3286,7.7754
23,5.5,5.66667,5.76667,5.62057,2.19074,2.75,5.8498,5.8442,5.8756,6.502,9.185
24,6.5,7,7.16667,7.16667,0.333524,3.25,7.1644,7.1698,7.181,7.3418,10.9968
25,4,4.2,4.2,4.425,2.25872,2,4.4227,4.4567,4.4162,4.7427,6.5874
26,5.5,5.5,5.5,5.5,0.549798,2.75,5.5,5.5,5.5,6.5563,8.285
27,5,5,5,5.5,3.23238,2.5,5.4972,5.4926,5.5088,6.3976,8.953
28,8,8,8,8,0.179177,4,8,8,8,8.2492,10.5814
29,4.5,4.5,4.5,4.79167,0.71739,2.25,4.6628,4.844,4.8374,5.356,8.4318
30,3.66667,3.66667,3.66667,3.66667,0.137962,1.83333,3.66667,3.66667,3.66667,4.17667,5.121
