Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,4.65,4.735,4.75639,4.84743,1.6663,2.325,4.86301,4.85488,4.88276,5.33921,7.13871
1,5,5,5,5.06667,0.238164,2.5,5.0338,5.0341,5.0299,5.2345,7.6174
2,4.5,5.1,5.3,5.53336,21.5153,2.25,5.5475,5.5598,5.9857,5.8391,9.2642
3,5.66667,5.66667,5.66667,5.66667,0.782066,2.83333,5.6466,5.6524,5.683,6.2473,7.5316
4,6,6.25,6.33333,6.63889,0.467494,3,6.70833,6.66153,6.69987,7.5952,9.7638
5,5.5,5.5,5.5,5.5,0.650817,2.75,5.5018,5.4876,5.4944,6.4984,8.1182
6,4.5,5,5,5,0.394917,2.25,4.9988,5.0012,5.0126,5.3478,7.6694
7,4.5,4.5,4.5,4.47143,0.80668,2.25,4.4934,4.5068,4.4966,5.0434,6.057
8,5.66667,5.83333,5.90833,5.91851,3.87023,2.83333,6.0283,6.0434,6.0213,6.1911,8.7376
9,3,3,3,3.50296,1.2736,1.5,3.511,3.5016,3.505,3.5495,4.2738
10,4.83333,4.83333,4.83333,4.83333,0.593737,2.41667,4.82867,4.82927,4.83507,4.93887,6.7922
11,5.5,5.5,5.5,5.5,1.53151,2.75,5.5026,5.5018,5.497,5.5306,7.6026
12,5.66667,5.66667,5.66667,5.61667,0.706342,2.83333,5.6532,5.6522,5.6796,6.2964,8.2196
13,6.5,6.5,6.5,6.66667,0.375913,3.25,6.8504,6.6534,6.8352,7.7365,10.1024
14,6,6,6,6.40625,0.720218,3,6.4042,6.4021,6.40177,6.9376,11.1192
15,2,2,2,2,0.142305,1,1.9846,1.9984,2.01,2.0216,2.225
16,5,5,5,5.22222,1.20774,2.5,5.218,5.21907,5.2136,5.7454,7.8852
17,3,3.16667,3.23333,3.30893,2.66748,1.5,3.3238,3.3079,3.2775,4.2207,5.0902
18,4.5,4.5,4.5,4.5,0.378514,2.25,4.5086,4.4922,4.4888,5.1869,6.983
19,4,4,4,4,0.415819,2,3.9976,3.9928,3.9952,4.511,5.7254
20,5,5,5,5,0.125508,2.5,5,5,5,6.2434,8.5424
21,6.5,7,7,7.27083,0.723,3.25,7.2538,7.2667,7.2862,7.2716,11.236
22,5,5,5,5,0.590822,2.5,5.0032,5.0204,5.0108,6.367,7.3404
23,7,7,7,7,0.523762,3.5,7.0044,6.9996,7.0002,7.8626,9.1228
24,4,4.16667,4.23333,4.20075,7.02203,2,4.3052,4.279,4.2908,4.7408,5.9456
25,5.5,5.5,5.5,5.91667,0.37682,2.75,5.92107,5.91647,5.9115,6.6342,8.8946
26,3.66667,3.66667,3.66667,3.68209,0.754903,1.83333,3.66747,3.66587,3.66347,4.16587,4.9896
27,2.5,2.5,2.5,2.5,0.069586,1.25,2.4964,2.4998,2.4938,2.4944,3.2606
28,2,2,2,2,0.107162,1,1.9926,1.997,1.9964,2.0016,2.8288
29,4,4,4,4,0.676345,2,4.014,4.0048,4.0056,4.0713,6.22
30,3,3.2,3.35,3.5,0.280047,1.5,3.491,3.4992,3.6618,3.6518,5.0026
