S,T,C,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
5,3,8,1.67778,1.68444,1.68444,1.7608,0.0793206,0.838889,1.7667,1.76031,1.76096,1.87348,2.37893
6,3,9,1.65556,1.66778,1.66944,1.73346,0.0761468,0.827778,1.74671,1.73759,1.74254,1.81884,2.42521
7,3,11,2.76111,2.78778,2.79444,2.84809,0.129733,1.38056,2.83675,2.83675,2.83482,2.94518,4.05635
8,3,12,2.3,2.30556,2.30667,2.3111,0.0791646,1.15,2.31391,2.31513,2.31875,2.37448,3.19134
9,3,14,2.93333,2.93333,2.93333,2.95095,0.132446,1.46667,2.9579,2.95824,2.96231,3.15073,4.48115
10,3,15,3.15,3.15833,3.16111,3.15442,0.174565,1.575,3.17117,3.1723,3.16995,3.24987,4.7246
5,4,10,2.95556,3.02056,3.04917,3.33072,0.143755,1.47778,3.36233,3.36972,3.38423,3.66726,4.84989
6,4,12,3.61111,3.71444,3.72833,3.93066,0.251731,1.80556,3.98891,3.99028,3.9981,4.33832,5.82065
7,4,14,4.02222,4.11667,4.15222,4.24449,0.582483,2.01111,4.31046,4.29045,4.31393,4.72642,6.52133
8,4,16,4.60556,4.62444,4.62889,4.71309,1.25756,2.30278,4.74452,4.7441,4.74783,5.24866,7.39799
9,4,18,5.55556,5.58056,5.58611,5.6853,1.46614,2.77778,5.7356,5.70161,5.70491,6.3257,9.07378
10,4,20,6.18333,6.20278,6.20833,6.27829,3.10079,3.09167,6.35371,6.33893,6.34188,6.9159,10.2678
5,5,13,4.575,4.82056,4.93333,5.49546,3.19775,2.2875,5.68766,5.65188,5.74313,6.32558,8.21555
6,5,15,5.375,5.56778,5.64111,6.11101,14.7419,2.6875,6.22678,6.23197,6.30803,7.15815,9.65255
7,5,18,6.29444,6.38889,6.42972,6.77481,17.7442,3.14722,6.99696,6.92456,7.01459,8.19884,11.0827
8,5,20,7.31111,7.45556,7.51833,Inf,Inf,3.65556,8.00967,8.01419,8.09297,9.32898,13.2518
9,5,23,8.49444,8.63722,8.72667,Inf,Inf,4.24722,9.16087,9.11979,9.16055,10.9881,15.3867
10,5,25,9.13333,9.31056,9.35889,Inf,Inf,4.56667,9.65686,9.63466,9.67961,11.4432,16.7289
5,6,15,6.31111,6.72167,6.955,7.80511,72.7021,3.15556,8.27863,8.03239,8.34675,9.49415,12.3952
6,6,18,7.00556,7.25833,7.43602,Inf,Inf,3.50278,8.4877,8.3605,8.61324,9.92421,13.4538
7,6,21,8.69167,9.12222,9.3475,Inf,Inf,4.34583,10.5992,10.516,10.9118,12.6068,17.79
8,6,24,9.64722,9.94889,10.1194,Inf,Inf,4.82361,11.3737,11.374,11.6731,13.4444,19.513
9,6,27,10.3833,10.69,10.9036,Inf,Inf,5.19167,11.7743,11.7478,11.9479,14.6524,20.945
10,6,30,12.0861,12.3533,12.5108,Inf,Inf,6.04306,13.3837,13.2322,13.4229,16.3281,23.7993
