Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,6.18333,6.20278,6.20833,6.27829,3.10079,3.09167,6.35371,6.33893,6.34188,6.9159,10.2678
1,8.5,8.5,8.5,8.58053,1.6228,4.25,8.499,8.4992,8.483,9.7101,15.47
2,6,6,6,6,0.423037,3,6,6,6,6.75,11.0726
3,7,7,7,7.41667,1.4308,3.5,7.4149,7.4141,7.4149,8.7246,13.7198
4,6,6,6,5.85714,4.10034,3,5.9936,5.998,6.0178,7.2358,9.8068
5,6.5,6.5,6.5,6.67778,2.53127,3.25,6.6257,6.6219,6.6481,7.4796,11.579
6,4,4,4,3.92308,0.114595,2,3.9898,3.993,4.0002,4.0044,5.5712
7,5.5,5.5,5.5,5.96825,0.418733,2.75,6.004,6.026,6.0104,6.507,7.868
8,5,5,5,5.04839,0.693021,2.5,4.9988,5.0126,4.9838,5.3522,8.044
9,7.16667,7.16667,7.16667,7.16667,6.5507,3.58333,7.16,7.1664,7.1394,7.7654,10.9172
10,5.5,5.5,5.5,5.5,0.375193,2.75,5.503,5.5024,5.5018,6.0756,8.4248
11,8.5,8.5,8.5,8.5,0.121907,4.25,8.5,8.5,8.5,8.5,11.535
12,3.5,3.5,3.5,3.47126,0.341164,1.75,3.4932,3.4958,3.5094,4.4433,5.0012
13,5.5,5.83333,6,6.63889,2.43765,2.75,6.68583,6.69507,6.69537,6.837,11.2584
14,6.5,6.5,6.5,6.5,3.39385,3.25,6.5,6.5,6.5,7.0825,11.0158
15,4.5,4.5,4.5,4.5,0.229052,2.25,4.4932,4.516,4.4702,4.6232,6.8492
16,4.5,4.5,4.5,4.5,0.134491,2.25,4.5,4.5,4.5,4.5,6.6198
17,6.16667,6.16667,6.16667,6.13095,0.881809,3.08333,6.251,6.2538,6.254,6.5937,11.6524
18,5.5,5.5,5.5,5.39683,1.09328,2.75,5.4908,5.5,5.4844,5.7072,7.786
19,7.5,7.5,7.5,8.35569,57.899,3.75,9.0042,8.65867,8.7934,9.2204,14.7582
20,6.5,6.5,6.5,6.5,0.327951,3.25,6.5038,6.4978,6.4938,7.1636,9.8544
21,7.66667,7.66667,7.66667,7.37719,0.416074,3.83333,7.66607,7.66067,7.66747,7.83207,10.9214
22,8.5,8.5,8.5,8.33333,0.858349,4.25,8.4948,8.5012,8.497,9.6536,15.708
23,4.5,4.5,4.5,4.5,0.400744,2.25,4.5,4.5,4.5653,6.2548,8.0798
24,6.5,6.5,6.5,6.41667,1.39261,3.25,6.7208,6.6338,6.6368,7.2469,10.2504
25,5.5,5.5,5.5,5.40909,0.320545,2.75,5.5052,5.4916,5.4924,6.6137,9.6728
26,8,8,8,8.225,2.06776,4,8.6388,8.4906,8.5082,8.6763,14.2716
27,6,6,6,6,0.218842,3,6,6,6,6.8825,10.7632
28,6.5,6.75,6.75,6.97917,1.7128,3.25,6.9798,7.0178,6.9882,7.5322,11.8418
29,7.5,7.5,7.5,7.47619,0.266655,3.75,7.509,7.5138,7.5002,7.5022,10.3196
30,5,5,5,5,0.248785,2.5,4.986,5.0078,5.001,5.007,7.4006
