Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,2.93333,2.93333,2.93333,2.95095,0.132446,1.46667,2.9579,2.95824,2.96231,3.15073,4.48115
1,3.5,3.5,3.5,3.5,0.031563,1.75,3.5,3.5,3.5,3.5,6.0116
2,1,1,1,1,0.041063,0.5,1,1,1,1,1.7196
3,2.5,2.5,2.5,2.5,0.092396,1.25,2.494,2.4992,2.4962,2.488,3.161
4,3,3,3,3,0.088874,1.5,3,3,3,3,4.829
5,3.5,3.5,3.5,3.5,0.198554,1.75,3.5046,3.5042,3.5144,3.506,5.1362
6,2.5,2.5,2.5,2.45082,0.527532,1.25,2.4842,2.493,2.5102,2.5926,3.2748
7,3.5,3.5,3.5,3.5,0.062913,1.75,3.5,3.5,3.5,3.5,4.5778
8,2,2,2,2,0.034722,1,2,2,2,2,2.7982
9,3,3,3,3,0.080879,1.5,2.994,2.9898,2.9922,3.0028,3.445
10,3.5,3.5,3.5,3.38462,0.150298,1.75,3.4868,3.4968,3.5014,3.4962,5.4488
11,4,4,4,4.19231,0.166445,2,4.2101,4.2154,4.2099,4.5941,8.5558
12,3.5,3.5,3.5,3.57143,0.26291,1.75,3.4896,3.4994,3.5034,3.5064,5.9176
13,3,3,3,3,0.076409,1.5,3,3,3,3,4.4234
14,1,1,1,1,0.041574,0.5,1,1,1,1.4994,1.3004
15,2,2,2,2.19298,0.123343,1,1.9896,2.0008,2.013,2.51,3.1194
16,2,2,2,2,0.04264,1,2,2,2,2.5016,3.677
17,4,4,4,3.8,0.068571,2,4.0016,3.9894,4.0232,3.992,6.0906
18,4,4,4,4.23333,0.06912,2,4.1993,4.1982,4.2035,4.5984,7.888
19,4,4,4,4,0.072546,2,4.017,4.008,4.005,3.9902,5.4292
20,3,3,3,3,0.035954,1.5,2.9974,2.9914,3.01,3.001,3.9284
21,2.5,2.5,2.5,2.5,0.03717,1.25,2.5012,2.503,2.5054,2.5016,3.1524
22,1.5,1.5,1.5,1.5,0.050702,0.75,1.5014,1.5054,1.497,1.5086,2.2744
23,3.5,3.5,3.5,3.47619,0.485337,1.75,3.4964,3.4942,3.4898,5.2119,5.1526
24,2,2,2,2.21696,0.357904,1,2.3881,2.3427,2.3468,2.4544,3.556
25,4,4,4,3.95,0.339334,2,3.9786,3.9986,4.0102,4.6926,6.1886
26,3,3,3,3,0.180006,1.5,2.9836,3.014,3.0046,3.4214,3.7958
27,4.5,4.5,4.5,4.5,0.065916,2.25,4.501,4.5116,4.5198,4.709,7.881
28,2.5,2.5,2.5,2.56,0.075546,1.25,2.5042,2.4952,2.5104,2.4976,3.158
29,1.5,1.5,1.5,1.5,0.069774,0.75,1.5,1.5,1.5,1.5,2.7132
30,4.5,4.5,4.5,4.5,0.043392,2.25,4.5142,4.497,4.503,4.746,5.8308
