Rows,b,b_1,b_2,opt,time,error,EG,EM,ERI,L,Rand.
Average,9.68889,10.5617,11.1186,Inf,Inf,4.84444,15.0031,14.9051,16.0086,18.2245,22.7882
1,10.5,11.8333,13,Inf,Inf,5.25,16.2959,16.0977,16.605,19.5609,24.8618
2,12.5,12.5,12.5,Inf,Inf,6.25,16.9282,17.2418,17.6232,21.6202,26.1434
3,9.5,10,10.5,Inf,Inf,4.75,13.915,13.9492,15.6805,15.8597,21.319
4,8,9,10,Inf,Inf,4,14.9634,14.2237,15.4479,17.3436,22.7776
5,10.5,11.1,11.6,Inf,Inf,5.25,16.4736,15.5876,16.9057,19.0277,24.4758
6,10.5,12.75,13.6667,Inf,Inf,5.25,18.7418,19.0769,21.1446,22.2019,28.3186
7,11.5,11.5,11.5,Inf,Inf,5.75,14.0249,15.0307,15.3737,19.8614,21.8852
8,11,12,12,Inf,Inf,5.5,15.6697,14.9663,15.4301,19.0067,23.648
9,9.5,10,10.4167,Inf,Inf,4.75,15.516,15.0244,15.308,16.7734,23.3604
10,11,11.4,11.6,Inf,Inf,5.5,14.3329,13.8461,15.1095,19.7652,22.9648
11,9.5,10.75,11.5,Inf,Inf,4.75,16.3948,15.9478,17.1049,17.9215,24.2702
12,6.5,7,7.5,Inf,Inf,3.25,12.4022,12.14,14.1908,14.942,18.6748
13,9,10.5,11.7083,Inf,Inf,4.5,17.8262,17.3267,19.5969,20.4949,26.842
14,10.5,11.25,11.75,Inf,Inf,5.25,15.6987,15.3716,16.3072,18.1261,23.67
15,9,10.5,11.5417,Inf,Inf,4.5,13.9159,14.0325,14.717,17.746,22.1098
16,8.5,9.83333,10.5,Inf,Inf,4.25,14.3426,13.8801,14.9699,17.848,22.105
17,8.66667,9.46667,9.76667,11.1097,618.1,4.33333,12.0095,11.6949,12.4168,15.4689,16.9576
18,13,14,14.5,Inf,Inf,6.5,19.4818,19.1563,20.8415,22.5761,27.9654
19,7.66667,8.16667,8.58333,Inf,Inf,3.83333,12.5199,11.7383,13.416,15.9464,19.169
20,8,8.8,9.2,10.6174,1495.5,4,11.4696,12.1884,12.8391,14.4828,17.708
21,6.66667,6.66667,6.66667,Inf,Inf,3.33333,8.84033,8.6824,9.41727,10.8099,12.494
22,7,8.25,8.83333,Inf,Inf,3.5,11.0199,11.0701,12.2024,13.1002,17.3476
23,12,13,13.8333,Inf,Inf,6,19.5118,19.3554,20.7422,24.317,30.0638
24,10,12,13,Inf,Inf,5,16.9872,16.9576,19.583,20.3477,27.4022
25,10.5,11.75,12.25,Inf,Inf,5.25,14.9152,14.7039,14.7317,18.1239,21.1378
26,9,9.5,10,Inf,Inf,4.5,16.322,16.6244,19.0104,21.0833,25.1406
27,9.5,10.3333,11.0917,Inf,Inf,4.75,15.6953,15.8463,16.9842,17.6784,24.3398
28,12,12.3333,12.5,Inf,Inf,6,17.3882,19.2646,19.3288,21.2099,25.4782
29,9.66667,10.6667,11.75,13.1626,2956.88,4.83333,14.0129,13.6785,13.8228,17.3839,21.8568
30,9.5,10,10.3,Inf,Inf,4.75,12.4778,12.4504,13.407,16.1068,19.1582
